,Unnamed: 0,Time,Open,High,Low,Close,AdjClose,Volume
0,1985,Oct 1,110.62,112.16,110.57,112.14,112.14,"153,160,000"
1,1985,Oct 2,112.14,112.54,110.78,110.82,110.82,"164,640,000"
2,1985,Oct 3,110.84,111.18,110.12,110.87,110.87,"147,300,000"
3,1985,Oct 4,110.87,110.87,109.86,110.07,110.07,"147,900,000"
4,1985,Oct 7,110.07,110.14,108.18,108.2,108.2,"128,640,000"
5,1985,Oct 8,108.2,108.27,106.75,107.16,107.16,"144,100,000"
6,1985,Oct 9,107.16,108.99,107.11,108.63,108.63,"156,200,000"
7,1985,Oct 10,108.63,109.51,107.81,109.43,109.43,"154,840,000"
8,1985,Oct 11,109.43,111.12,109.43,111.05,111.05,"158,220,000"
9,1985,Oct 14,111.05,113.27,111.05,113.18,113.18,"123,120,000"
10,1985,Oct 15,113.18,113.98,112.79,113.38,113.38,"171,360,000"
11,1985,Oct 16,113.38,114.34,113.2,114.32,114.32,"175,120,000"
12,1985,Oct 17,114.32,115.34,114.32,114.74,114.74,"190,940,000"
13,1985,Oct 18,114.74,114.96,113.83,114.32,114.32,"180,880,000"
14,1985,Oct 21,114.32,114.46,113.65,113.68,113.68,"142,800,000"
15,1985,Oct 22,113.8,114.89,113.43,114.44,114.44,"157,740,000"
16,1985,Oct 23,114.44,115.53,114.44,115.07,115.07,"202,200,000"
17,1985,Oct 24,115.07,116.11,115.07,115.49,115.49,"190,860,000"
18,1985,Oct 25,115.49,115.54,113.74,113.91,113.91,"165,840,000"
19,1985,Oct 28,113.91,113.91,113.21,113.82,113.82,"131,460,000"
20,1985,Oct 29,113.82,115.74,113.81,115.4,115.4,"163,400,000"
21,1985,Oct 30,115.4,116.13,115.34,115.77,115.77,"196,040,000"
22,1985,Oct 31,115.77,116.11,115.15,115.48,115.48,"169,920,000"
23,1985,Nov-01,115.48,116.78,115.48,116.28,116.28,"180,180,000"
24,1985,Nov-04,116.28,117.07,115.82,116.04,116.04,"150,680,000"
25,1985,Nov-05,116.04,116.57,115.88,116.44,116.44,"175,360,000"
26,1985,Nov-06,116.44,117.62,116.44,117.38,117.38,"187,000,000"
27,1985,Nov-07,117.38,117.96,117.38,117.62,117.62,"177,280,000"
28,1985,Nov-08,117.62,119.39,117.58,119.26,119.26,"173,520,000"
29,1985,Nov-11,119.26,120.54,119.18,120.4,120.4,"160,780,000"
30,1985,Nov-12,120.39,122.01,120.39,121.82,121.82,"216,600,000"
31,1985,Nov-13,121.82,121.92,120.9,121.17,121.17,"186,420,000"
32,1985,Nov-14,121.17,121.92,120.8,121.83,121.83,"196,080,000"
33,1985,Nov-15,121.83,123.1,121.79,122.18,122.18,"190,540,000"
34,1985,Nov-18,122.18,122.28,121.73,121.96,121.96,"164,420,000"
35,1985,Nov-19,121.96,122.8,121.74,122.57,122.57,"203,600,000"
36,1985,Nov-20,122.57,122.79,122.2,122.2,122.2,"195,200,000"
37,1985,Nov-21,122.2,123.81,122.2,123.61,123.61,"239,800,000"
38,1985,Nov-22,123.61,124.33,123.44,123.97,123.97,"208,400,000"
39,1985,Nov-25,123.97,124.17,122.82,123.14,123.14,"166,860,000"
40,1985,Nov-26,123.14,124.25,123.09,123.95,123.95,"187,260,000"
41,1985,Nov-27,123.95,125.88,123.88,125.77,125.77,"206,600,000"
