,Day,Cash,Portfolio,Total,Open,Close,High,Low,Signal,Target price,Tag,MDD
0,2023-02-10,10000.0,0.0,10000.0,62600,62800,63000,62400,0.0,62800,0,0
1,2023-02-13,10000.0,0.0,10000.0,62900,62900,63000,62300,0.0,62900,0,0
2,2023-02-14,10000.0,0.0,10000.0,63600,63200,63900,63200,0.0,63200,0,0
3,2023-02-15,10000.0,0.0,10000.0,63900,62200,63900,62000,0.0,62200,0,0
4,2023-02-16,10000.0,0.0,10000.0,62500,63700,63700,62400,0.0,63700,0,0
5,2023-02-17,10000.0,0.0,10000.0,62900,62600,63300,62400,0.0,62600,0,0
6,2023-02-20,10000.0,0.0,10000.0,62900,62700,63000,61800,0.0,62700,0,0
7,2023-02-21,10000.0,0.0,10000.0,62700,62100,62800,62000,0.0,62100,0,0
8,2023-02-22,10000.0,0.0,10000.0,61500,61100,61800,61000,0.0,61100,0,0
9,2023-02-23,10000.0,0.0,10000.0,61700,62000,62500,61500,0.0,62000,0,0
10,2023-02-24,10000.0,0.0,10000.0,62300,61300,62600,61300,0.0,61300,0,0
11,2023-02-27,10000.0,0.0,10000.0,60800,60500,60800,60200,0.0,60500,0,0
12,2023-02-28,10000.0,0.0,10000.0,60800,60600,61400,60500,0.0,60600,0,0
13,2023-03-02,10000.0,0.0,10000.0,60900,60800,61800,60500,0.0,60800,0,0
14,2023-03-03,10000.0,0.0,10000.0,61000,60500,61200,60500,0.0,60500,0,0
15,2023-03-06,10000.0,0.0,10000.0,61100,61500,61600,60800,0.0,61500,0,0
16,2023-03-07,10000.0,0.0,10000.0,61400,60700,61400,60700,0.0,60700,0,0
17,2023-03-08,10000.0,0.0,10000.0,60100,60300,60500,59900,0.0,60300,0,0
18,2023-03-09,10000.0,0.0,10000.0,60500,60100,60800,59900,0.0,60100,0,0
19,2023-03-10,10000.0,0.0,10000.0,59500,59500,59700,59100,0.0,59500,0,0
20,2023-03-13,10000.0,0.0,10000.0,59900,60000,60200,59300,0.0,60000,0,0
21,2023-03-14,10000.0,0.0,10000.0,59400,59000,59500,59000,0.0,59000,0,0
22,2023-03-15,10000.0,0.0,10000.0,60000,59800,60300,59600,0.0,59800,0,0
23,2023-03-16,10000.0,0.0,10000.0,59200,59900,60200,59100,0.0,59900,0,0
24,2023-03-17,10000.0,0.0,10000.0,60800,61300,61300,60600,0.0,61300,0,0
25,2023-03-20,10000.0,0.0,10000.0,61100,60200,61200,60200,0.0,60200,0,0
26,2023-03-21,10000.0,0.0,10000.0,60500,60300,60700,60100,0.0,60300,0,0
27,2023-03-22,10000.0,0.0,10000.0,61000,61100,61200,60500,0.0,61100,0,0
28,2023-03-23,31.639999999999418,9968.0,9999.64,60600,62300,62300,60600,1.0,62300,0,0
29,2023-03-24,31.639999999999418,10080.0,10111.64,62700,63000,63300,62300,0.0,63000,0,0
30,2023-03-27,31.639999999999418,9936.0,9967.64,62600,62100,62800,62000,0.0,62100,0,0
31,2023-03-28,31.639999999999418,10064.0,10095.64,62400,62900,62900,62100,0.0,62900,0,0
32,2023-03-29,31.639999999999418,10032.0,10063.64,62500,62700,62700,62200,0.0,62700,0,0
33,2023-03-30,31.639999999999418,10112.0,10143.64,63700,63200,63700,63100,0.0,63200,0,0
34,2023-03-31,31.639999999999418,10240.0,10271.64,64000,64000,64000,63700,0.0,64000,0,0
35,2023-04-03,31.639999999999418,10096.0,10127.64,64000,63100,64000,63000,0.0,63100,0,0
36,2023-04-04,31.639999999999418,10176.0,10207.64,63400,63600,63800,62800,0.0,63600,0,0
37,2023-04-05,31.639999999999418,10224.0,10255.64,63700,63900,64000,63400,0.0,63900,0,0
38,2023-04-06,31.639999999999418,9968.0,9999.64,63500,62300,63600,62300,0.0,62300,0,0
39,2023-04-07,31.639999999999418,10400.0,10431.64,63800,65000,65200,63800,0.0,65000,0,0
40,2023-04-10,31.639999999999418,10512.0,10543.64,64800,65700,66300,64700,0.0,65700,0,0
41,2023-04-11,31.639999999999418,10544.0,10575.64,66200,65900,66200,65400,0.0,65900,0,0
42,2023-04-12,31.639999999999418,10560.0,10591.64,65800,66000,66200,65300,0.0,66000,0,0
43,2023-04-13,31.639999999999418,10576.0,10607.64,65600,66100,66100,65400,0.0,66100,0,0
44,2023-04-14,31.639999999999418,10416.0,10447.64,66600,65100,66600,65000,0.0,65100,0,0
45,2023-04-17,31.639999999999418,10448.0,10479.64,65000,65300,65600,64700,0.0,65300,0,0
46,2023-04-18,31.639999999999418,10496.0,10527.64,65900,65600,66000,64800,0.0,65600,0,0
47,2023-04-19,31.639999999999418,10480.0,10511.64,65500,65500,65800,65300,0.0,65500,0,0
48,2023-04-20,31.639999999999418,10448.0,10479.64,65100,65300,65300,64600,0.0,65300,0,0
49,2023-04-21,31.639999999999418,10512.0,10543.64,65800,65700,65900,65400,0.0,65700,0,0
50,2023-04-24,31.639999999999418,10432.0,10463.64,65300,65200,65700,64800,0.0,65200,0,0
51,2023-04-25,31.639999999999418,10176.0,10207.64,65300,63600,65400,63400,0.0,63600,0,0
52,2023-04-26,31.639999999999418,10256.0,10287.64,63600,64100,64300,63300,0.0,64100,0,0
53,2023-04-27,31.639999999999418,10336.0,10367.64,64100,64600,65000,63300,0.0,64600,0,0
54,2023-04-28,31.639999999999418,10480.0,10511.64,65200,65500,65900,65000,0.0,65500,0,0
55,2023-05-02,31.639999999999418,10512.0,10543.64,66000,65700,66300,65100,0.0,65700,0,0
56,2023-05-03,31.639999999999418,10464.0,10495.64,65100,65400,65600,64900,0.0,65400,0,0
57,2023-05-04,31.639999999999418,10416.0,10447.64,65600,65100,65700,64700,0.0,65100,0,0
58,2023-05-08,31.639999999999418,10544.0,10575.64,66300,65900,66300,65400,0.0,65900,0,0
59,2023-05-09,31.639999999999418,10448.0,10479.64,65800,65300,65800,65100,0.0,65300,0,0
60,2023-05-10,31.639999999999418,10336.0,10367.64,65500,64600,65500,64300,0.0,64600,0,0
61,2023-05-11,10382.572028608,0.0,10382.572028608,64700,64200,65100,64200,-1.0,64200,0,0
62,2023-05-12,10382.572028608,0.0,10382.572028608,63700,64100,64600,63600,0.0,64100,0,0
63,2023-05-15,10382.572028608,0.0,10382.572028608,64100,64500,64600,63900,0.0,64500,0,0
64,2023-05-16,572.212028607999,9810.0,10382.212028607999,65800,65400,65900,65300,1.0,65400,0,0
65,2023-05-17,572.212028607999,9750.0,10322.212028607999,65900,65000,65900,64800,0.0,65000,0,0
66,2023-05-18,572.212028607999,9930.0,10502.212028607999,66000,66200,66200,65700,0.0,66200,0,0
67,2023-05-19,572.212028607999,10260.0,10832.212028607999,67800,68400,68400,67500,0.0,68400,0,0
68,2023-05-22,572.212028607999,10275.0,10847.212028607999,68400,68500,69000,68000,0.0,68500,0,0
69,2023-05-23,572.212028607999,10260.0,10832.212028607999,68500,68400,68700,68100,0.0,68400,0,0
70,2023-05-24,572.212028607999,10275.0,10847.212028607999,68100,68500,68700,68000,0.0,68500,0,0
71,2023-05-25,572.212028607999,10320.0,10892.212028607999,69900,68800,70000,68700,0.0,68800,0,0
72,2023-05-26,572.212028607999,10545.0,11117.212028607999,69800,70300,70400,69500,0.0,70300,0,0
73,2023-05-30,572.212028607999,10845.0,11417.212028607999,71300,72300,72300,71200,0.0,72300,0,0
74,2023-05-31,572.212028607999,10710.0,11282.212028607999,72400,71400,72500,71000,0.0,71400,0,0
75,2023-06-01,572.212028607999,10635.0,11207.212028607999,70900,70900,71600,70600,0.0,70900,0,0
76,2023-06-02,572.212028607999,10830.0,11402.212028607999,71700,72200,72200,71600,0.0,72200,0,0
77,2023-06-05,572.212028607999,10755.0,11327.212028607999,72700,71700,72700,71400,0.0,71700,0,0
78,2023-06-07,572.212028607999,10650.0,11222.212028607999,71300,71000,71600,70800,0.0,71000,0,0
79,2023-06-08,572.212028607999,10635.0,11207.212028607999,70400,70900,70900,70000,0.0,70900,0,0
80,2023-06-09,572.212028607999,10800.0,11372.212028607999,71100,72000,72300,70800,0.0,72000,0,0
81,2023-06-12,572.212028607999,10650.0,11222.212028607999,72100,71000,72400,70800,0.0,71000,0,0
82,2023-06-13,572.212028607999,10800.0,11372.212028607999,71700,72000,72200,71600,0.0,72000,0,0
83,2023-06-14,572.212028607999,10785.0,11357.212028607999,72100,71900,72200,71100,0.0,71900,0,0
84,2023-06-15,572.212028607999,10725.0,11297.212028607999,72100,71500,72300,71300,0.0,71500,0,0
85,2023-06-16,572.212028607999,10770.0,11342.212028607999,71800,71800,71900,70900,0.0,71800,0,0
86,2023-06-19,572.212028607999,10680.0,11252.212028607999,71300,71200,71700,70900,0.0,71200,0,0
87,2023-06-20,572.212028607999,10710.0,11282.212028607999,70700,71400,71400,70400,0.0,71400,0,0
88,2023-06-21,572.212028607999,10575.0,11147.212028607999,70700,70500,71200,70400,0.0,70500,0,0
89,2023-06-22,572.212028607999,10695.0,11267.212028607999,70200,71300,71500,70100,0.0,71300,0,0
90,2023-06-23,572.212028607999,10740.0,11312.212028607999,72000,71600,72200,71600,0.0,71600,0,0
91,2023-06-26,572.212028607999,10860.0,11432.212028607999,71700,72400,72500,71500,0.0,72400,0,0
92,2023-06-27,572.212028607999,10890.0,11462.212028607999,72500,72600,72600,72000,0.0,72600,0,0
93,2023-06-28,572.212028607999,10905.0,11477.212028607999,72600,72700,72700,72000,0.0,72700,0,0
94,2023-06-29,572.212028607999,10860.0,11432.212028607999,73100,72400,73400,72400,0.0,72400,0,0
95,2023-06-30,572.212028607999,10830.0,11402.212028607999,72500,72200,72700,71700,0.0,72200,0,0
96,2023-07-03,572.212028607999,10950.0,11522.212028607999,72700,73000,73200,72600,0.0,73000,0,0
97,2023-07-04,572.212028607999,10950.0,11522.212028607999,73400,73000,73600,72900,0.0,73000,0,0
98,2023-07-05,572.212028607999,10800.0,11372.212028607999,73000,72000,73300,71900,0.0,72000,0,0
99,2023-07-06,572.212028607999,10740.0,11312.212028607999,71900,71600,72400,71500,0.0,71600,0,0
100,2023-07-07,11235.284865267999,0.0,11235.284865267999,71100,69900,71400,69800,-1.0,69900,0,0
101,2023-07-10,11235.284865267999,0.0,11235.284865267999,70000,69500,70400,69200,0.0,69500,0,0
102,2023-07-11,11235.284865267999,0.0,11235.284865267999,70200,71500,71500,70100,0.0,71500,0,0
103,2023-07-12,11235.284865267999,0.0,11235.284865267999,71200,71900,72000,71100,0.0,71900,0,0
104,2023-07-13,449.8948652679992,10785.0,11234.894865268,72400,71900,72600,71900,1.0,71900,0,0
105,2023-07-14,449.8948652679992,11010.0,11459.894865268,72500,73400,73400,72400,0.0,73400,0,0
106,2023-07-17,449.8948652679992,10995.0,11444.894865268,73200,73300,73500,72800,0.0,73300,0,0
107,2023-07-18,449.8948652679992,10800.0,11249.894865268,73200,72000,73500,72000,0.0,72000,0,0
108,2023-07-19,449.8948652679992,10755.0,11204.894865268,72700,71700,72800,71300,0.0,71700,0,0
109,2023-07-20,11114.506701928,0.0,11114.506701928,71100,71000,71500,70800,-1.0,71000,0,0
110,2023-07-21,11114.506701928,0.0,11114.506701928,70400,70300,70400,69400,0.0,70300,0,0
111,2023-07-24,11114.506701928,0.0,11114.506701928,70100,70400,70900,69900,0.0,70400,0,0
112,2023-07-25,11114.506701928,0.0,11114.506701928,70000,70000,70500,69800,0.0,70000,0,0
113,2023-07-26,11114.506701928,0.0,11114.506701928,69800,69800,70600,68100,0.0,69800,0,0
114,2023-07-27,11114.506701928,0.0,11114.506701928,69900,71700,71700,69300,0.0,71700,0,0
115,2023-07-28,11114.506701928,0.0,11114.506701928,71800,70600,72400,70100,0.0,70600,0,0
116,2023-07-31,11114.506701928,0.0,11114.506701928,70900,69800,71000,69800,0.0,69800,0,0
117,2023-08-01,11114.506701928,0.0,11114.506701928,70100,71100,71200,70000,0.0,71100,0,0
118,2023-08-02,11114.506701928,0.0,11114.506701928,70700,69900,71000,69800,0.0,69900,0,0
119,2023-08-03,11114.506701928,0.0,11114.506701928,69900,68800,70200,68500,0.0,68800,0,0
120,2023-08-04,11114.506701928,0.0,11114.506701928,68800,68300,69100,68200,0.0,68300,0,0
121,2023-08-07,11114.506701928,0.0,11114.506701928,67700,68500,69200,67600,0.0,68500,0,0
122,2023-08-08,11114.506701928,0.0,11114.506701928,69000,67600,69100,67400,0.0,67600,0,0
123,2023-08-09,11114.506701928,0.0,11114.506701928,68000,68900,69600,67900,0.0,68900,0,0
124,2023-08-10,11114.506701928,0.0,11114.506701928,68300,68000,68500,67800,0.0,68000,0,0
125,2023-08-11,11114.506701928,0.0,11114.506701928,68400,67500,68800,67500,0.0,67500,0,0
126,2023-08-14,11114.506701928,0.0,11114.506701928,67500,67300,67900,66900,0.0,67300,0,0
127,2023-08-16,11114.506701928,0.0,11114.506701928,66700,67000,67100,66300,0.0,67000,0,0
128,2023-08-17,11114.506701928,0.0,11114.506701928,66300,66700,66800,66000,0.0,66700,0,0
129,2023-08-18,11114.506701928,0.0,11114.506701928,66000,66300,66700,65800,0.0,66300,0,0
130,2023-08-21,11114.506701928,0.0,11114.506701928,66600,66600,67100,66300,0.0,66600,0,0
131,2023-08-22,11114.506701928,0.0,11114.506701928,67200,66600,67700,66300,0.0,66600,0,0
132,2023-08-23,11114.506701928,0.0,11114.506701928,66700,67100,67100,66400,0.0,67100,0,0
133,2023-08-24,11114.506701928,0.0,11114.506701928,68300,68200,68700,67900,0.0,68200,0,0
134,2023-08-25,11114.506701928,0.0,11114.506701928,67100,67100,67400,66900,0.0,67100,0,0
135,2023-08-28,11114.506701928,0.0,11114.506701928,66800,66800,67000,66500,0.0,66800,0,0
136,2023-08-29,11114.506701928,0.0,11114.506701928,66900,66800,67200,66600,0.0,66800,0,0
137,2023-08-30,11114.506701928,0.0,11114.506701928,67300,67100,67700,67100,0.0,67100,0,0
138,2023-08-31,11114.506701928,0.0,11114.506701928,67100,66900,67200,66400,0.0,66900,0,0
139,2023-09-01,464.1167019280001,10650.0,11114.116701928,66800,71000,71000,66700,1.0,71000,0,0
140,2023-09-04,464.1167019280001,10680.0,11144.116701928,72900,71200,72900,70700,0.0,71200,0,0
141,2023-09-05,464.1167019280001,10605.0,11069.116701928,70900,70700,71500,70200,0.0,70700,0,0
142,2023-09-06,464.1167019280001,10500.0,10964.116701928,70700,70000,70800,69700,0.0,70000,0,0
143,2023-09-07,464.1167019280001,10560.0,11024.116701928,70000,70400,70600,69600,0.0,70400,0,0
144,2023-09-08,464.1167019280001,10545.0,11009.116701928,70200,70300,70300,69600,0.0,70300,0,0
145,2023-09-11,464.1167019280001,10620.0,11084.116701928,70400,70800,70800,70000,0.0,70800,0,0
146,2023-09-12,464.1167019280001,10575.0,11039.116701928,70800,70500,71000,70400,0.0,70500,0,0
147,2023-09-13,464.1167019280001,10635.0,11099.116701928,71100,70900,71600,70300,0.0,70900,0,0
148,2023-09-14,464.1167019280001,10755.0,11219.116701928,71200,71700,71800,70800,0.0,71700,0,0
149,2023-09-15,464.1167019280001,10800.0,11264.116701928,71700,72000,72300,71400,0.0,72000,0,0
150,2023-09-18,464.1167019280001,10530.0,10994.116701928,71300,70200,71700,70200,0.0,70200,0,0
151,2023-09-19,464.1167019280001,10470.0,10934.116701928,70400,69800,70800,69600,0.0,69800,0,0
152,2023-09-20,464.1167019280001,10440.0,10904.116701928,70000,69600,70300,69500,0.0,69600,0,0
153,2023-09-21,10843.738911448,0.0,10843.738911448,69200,68900,69800,68800,-1.0,68900,0,0
154,2023-09-22,10843.738911448,0.0,10843.738911448,68300,68800,68900,68300,0.0,68800,0,0
155,2023-09-25,10843.738911448,0.0,10843.738911448,68500,69400,69700,68500,0.0,69400,0,0
156,2023-09-26,10843.738911448,0.0,10843.738911448,70000,68600,70000,68400,0.0,68600,0,0
157,2023-09-27,10843.738911448,0.0,10843.738911448,68600,68400,69100,68200,0.0,68400,0,0
158,2023-10-04,10843.738911448,0.0,10843.738911448,67400,67500,67700,66700,0.0,67500,0,0
159,2023-10-05,10843.738911448,0.0,10843.738911448,67300,66700,67400,66700,0.0,66700,0,0
160,2023-10-06,10843.738911448,0.0,10843.738911448,67100,66000,67300,66000,0.0,66000,0,0
161,2023-10-10,10843.738911448,0.0,10843.738911448,66200,66400,67600,66200,0.0,66400,0,0
162,2023-10-11,10843.738911448,0.0,10843.738911448,68600,68200,69400,67900,0.0,68200,0,0
163,2023-10-12,10843.738911448,0.0,10843.738911448,68600,68900,69700,68200,0.0,68900,0,0
