,Day,Cash,Portfolio,Total,Open,Close,High,Low,Signal,Target price,Tag,MDD
0,2023-03-09,10000.0,0.0,10000.0,60500,60100,60800,59900,0.0,60100,0,0
1,2023-03-10,10000.0,0.0,10000.0,59500,59500,59700,59100,0.0,59500,0,0
2,2023-03-13,10000.0,0.0,10000.0,59900,60000,60200,59300,0.0,60000,0,0
3,2023-03-14,10000.0,0.0,10000.0,59400,59000,59500,59000,0.0,59000,0,0
4,2023-03-15,10000.0,0.0,10000.0,60000,59800,60300,59600,0.0,59800,0,0
5,2023-03-16,10000.0,0.0,10000.0,59200,59900,60200,59100,0.0,59900,0,0
6,2023-03-17,10000.0,0.0,10000.0,60800,61300,61300,60600,0.0,61300,0,0
7,2023-03-20,10000.0,0.0,10000.0,61100,60200,61200,60200,0.0,60200,0,0
8,2023-03-21,10000.0,0.0,10000.0,60500,60300,60700,60100,0.0,60300,0,0
9,2023-03-22,10000.0,0.0,10000.0,61000,61100,61200,60500,0.0,61100,0,0
10,2023-03-23,31.639999999999418,9968.0,9999.64,60600,62300,62300,60600,1.0,62300,0,0
11,2023-03-24,31.639999999999418,10080.0,10111.64,62700,63000,63300,62300,0.0,63000,0,0
12,2023-03-27,31.639999999999418,9936.0,9967.64,62600,62100,62800,62000,0.0,62100,0,0
13,2023-03-28,31.639999999999418,10064.0,10095.64,62400,62900,62900,62100,0.0,62900,0,0
14,2023-03-29,31.639999999999418,10032.0,10063.64,62500,62700,62700,62200,0.0,62700,0,0
15,2023-03-30,31.639999999999418,10112.0,10143.64,63700,63200,63700,63100,0.0,63200,0,0
16,2023-03-31,31.639999999999418,10240.0,10271.64,64000,64000,64000,63700,0.0,64000,0,0
17,2023-04-03,31.639999999999418,10096.0,10127.64,64000,63100,64000,63000,0.0,63100,0,0
18,2023-04-04,31.639999999999418,10176.0,10207.64,63400,63600,63800,62800,0.0,63600,0,0
19,2023-04-05,31.639999999999418,10224.0,10255.64,63700,63900,64000,63400,0.0,63900,0,0
20,2023-04-06,31.639999999999418,9968.0,9999.64,63500,62300,63600,62300,0.0,62300,0,0
21,2023-04-07,31.639999999999418,10400.0,10431.64,63800,65000,65200,63800,0.0,65000,0,0
22,2023-04-10,31.639999999999418,10512.0,10543.64,64800,65700,66300,64700,0.0,65700,0,0
23,2023-04-11,31.639999999999418,10544.0,10575.64,66200,65900,66200,65400,0.0,65900,0,0
24,2023-04-12,31.639999999999418,10560.0,10591.64,65800,66000,66200,65300,0.0,66000,0,0
25,2023-04-13,31.639999999999418,10576.0,10607.64,65600,66100,66100,65400,0.0,66100,0,0
26,2023-04-14,31.639999999999418,10416.0,10447.64,66600,65100,66600,65000,0.0,65100,0,0
27,2023-04-17,31.639999999999418,10448.0,10479.64,65000,65300,65600,64700,0.0,65300,0,0
28,2023-04-18,31.639999999999418,10496.0,10527.64,65900,65600,66000,64800,0.0,65600,0,0
29,2023-04-19,31.639999999999418,10480.0,10511.64,65500,65500,65800,65300,0.0,65500,0,0
30,2023-04-20,31.639999999999418,10448.0,10479.64,65100,65300,65300,64600,0.0,65300,0,0
31,2023-04-21,31.639999999999418,10512.0,10543.64,65800,65700,65900,65400,0.0,65700,0,0
32,2023-04-24,31.639999999999418,10432.0,10463.64,65300,65200,65700,64800,0.0,65200,0,0
33,2023-04-25,31.639999999999418,10176.0,10207.64,65300,63600,65400,63400,0.0,63600,0,0
34,2023-04-26,31.639999999999418,10256.0,10287.64,63600,64100,64300,63300,0.0,64100,0,0
35,2023-04-27,31.639999999999418,10336.0,10367.64,64100,64600,65000,63300,0.0,64600,0,0
36,2023-04-28,31.639999999999418,10480.0,10511.64,65200,65500,65900,65000,0.0,65500,0,0
37,2023-05-02,31.639999999999418,10512.0,10543.64,66000,65700,66300,65100,0.0,65700,0,0
38,2023-05-03,31.639999999999418,10464.0,10495.64,65100,65400,65600,64900,0.0,65400,0,0
39,2023-05-04,31.639999999999418,10416.0,10447.64,65600,65100,65700,64700,0.0,65100,0,0
40,2023-05-08,31.639999999999418,10544.0,10575.64,66300,65900,66300,65400,0.0,65900,0,0
41,2023-05-09,31.639999999999418,10448.0,10479.64,65800,65300,65800,65100,0.0,65300,0,0
42,2023-05-10,31.639999999999418,10336.0,10367.64,65500,64600,65500,64300,0.0,64600,0,0
43,2023-05-11,31.639999999999418,10272.0,10303.64,64700,64200,65100,64200,0.0,64200,0,0
44,2023-05-12,31.639999999999418,10256.0,10287.64,63700,64100,64600,63600,0.0,64100,0,0
45,2023-05-15,31.639999999999418,10320.0,10351.64,64100,64500,64600,63900,0.0,64500,0,0
46,2023-05-16,31.639999999999418,10464.0,10495.64,65800,65400,65900,65300,0.0,65400,0,0
47,2023-05-17,31.639999999999418,10400.0,10431.64,65900,65000,65900,64800,0.0,65000,0,0
48,2023-05-18,31.639999999999418,10592.0,10623.64,66000,66200,66200,65700,0.0,66200,0,0
49,2023-05-19,31.639999999999418,10944.0,10975.64,67800,68400,68400,67500,0.0,68400,0,0
50,2023-05-22,31.639999999999418,10960.0,10991.64,68400,68500,69000,68000,0.0,68500,0,0
51,2023-05-23,31.639999999999418,10944.0,10975.64,68500,68400,68700,68100,0.0,68400,0,0
52,2023-05-24,31.639999999999418,10960.0,10991.64,68100,68500,68700,68000,0.0,68500,0,0
53,2023-05-25,31.639999999999418,11008.0,11039.64,69900,68800,70000,68700,0.0,68800,0,0
54,2023-05-26,31.639999999999418,11248.0,11279.64,69800,70300,70400,69500,0.0,70300,0,0
55,2023-05-30,31.639999999999418,11568.0,11599.64,71300,72300,72300,71200,0.0,72300,0,0
56,2023-05-31,31.639999999999418,11424.0,11455.64,72400,71400,72500,71000,0.0,71400,0,0
57,2023-06-01,31.639999999999418,11344.0,11375.64,70900,70900,71600,70600,0.0,70900,0,0
58,2023-06-02,31.639999999999418,11552.0,11583.64,71700,72200,72200,71600,0.0,72200,0,0
59,2023-06-05,31.639999999999418,11472.0,11503.64,72700,71700,72700,71400,0.0,71700,0,0
60,2023-06-07,31.639999999999418,11360.0,11391.64,71300,71000,71600,70800,0.0,71000,0,0
61,2023-06-08,31.639999999999418,11344.0,11375.64,70400,70900,70900,70000,0.0,70900,0,0
62,2023-06-09,31.639999999999418,11520.0,11551.64,71100,72000,72300,70800,0.0,72000,0,0
63,2023-06-12,31.639999999999418,11360.0,11391.64,72100,71000,72400,70800,0.0,71000,0,0
64,2023-06-13,31.639999999999418,11520.0,11551.64,71700,72000,72200,71600,0.0,72000,0,0
65,2023-06-14,31.639999999999418,11504.0,11535.64,72100,71900,72200,71100,0.0,71900,0,0
66,2023-06-15,31.639999999999418,11440.0,11471.64,72100,71500,72300,71300,0.0,71500,0,0
