종목명,티커,배율,상장일,기초지수,시가총액,구성종목수
Direxion Daily S&P 500® High Beta Bear 3X Shares,HIBS,-3,2019.11.07,S&P 500 High Beta TR USD,24.2,8
Direxion Daily S&P Biotech Bull 3X Shares,LABU,3,2015.05.28,S&P Biotechnology Select Sector TR USD,758.8,150
Direxion Daily S&P Biotech Bear 3X Shares,LABD,-3,2015.05.28,S&P Biotechnology Select Sector TR USD,56.1,11
Direxion Daily Semiconductor Bull 3X Shares,SOXL,3,2010.03.11,NYSE Semiconductor TR USD,9126.4,44
Direxion Daily Semiconductor Bear 3X Shares,SOXS,-3,2010.03.11,NYSE Semiconductor TR USD,725.1,7
Direxion Daily Technology Bull 3X Shares,TECL,3,2008.12.17,S&P Technology Select Sector TR USD,3025.9,76
Direxion Daily Technology Bear 3X Shares,TECS,-3,2008.12.17,S&P Technology Select Sector TR USD,81.2,12
Direxion Daily Transportation Bull 3X Shares,TPOR,3,2017.05.03,S&P Transpt Sel Ind FMC Cap TR USD,18.7,54
Direxion Daily Utilities Bull 3X Shares,UTSL,3,2017.05.03,S&P Utilities Select Sector TR USD,44.3,37
International equity x2,,,,,,
Direxion Daily CSI 300 China A Share Bull 2X Shares,CHAU,2,2015.04.16,CSI 300 NR USD,292.9,7
Direxion Daily CSI China Internet Index Bull 2X Shares,CWEB,2,2016.11.02,CSI 300 NR USD,252.2,7
Direxion Daily MSCI Brazil Bull 2X Shares,BRZU,2,2013.04.10,MSCI Brazil 25-50 NR USD,117.3,6
Direxion Daily MSCI Emerging Markets ex China Bull 2X Shares ,XXCH,2,2024.02.07,MSCI Emerging Markets ex China NR USD,3.2,6
Direxion Daily MSCI India Bull 2X Shares,INDL,2,2010.03.11,MSCI India NR USD,74.2,6
Sector equity x2,,,,,,
Direxion Daily AI and Big Data Bull 2X Shares,AIBU,2,2024.05.15,Solactive US AI & Big Data USD,10.9,36
Direxion Daily AI and Big Data Bear 2X Shares,AIBD,-2,2024.05.15,Solactive US AI & Big Data USD,2.1,6
Direxion Daily Cloud Computing Bull 2X Shares,CLDL,2,2021.01.08,Indxx USA Cloud Computing NTR USD,7.6,53
Direxion Daily Crypto Industry Bull 2X Shares,LMBO,2,2024.07.16,Solactive Dist Led & Dec Pay Tech TR USD,4,30
"Direxion Daily Electric and Autonomous Vehicles Bull 2X Shares",EVAV,2,2022.08.10,Indxx US Ele & Auto Veh USD,5.2,27
Direxion Daily Energy Bull 2X Shares,ERX,2,2008.11.06,S&P Energy Select Sector TR USD,294.2,32
"Direxion Daily Energy Bear 2X Shares",ERY,-2,2008.11.06,S&P Energy Select Sector TR USD,15.1,6
Direxion Daily Gold Miners Index Bull 2X Shares,NUGT,2,2010.12.08,NYSE Arca Gold Miners TR USD,545.2,8
Direxion Daily Gold Miners Index Bear 2X Shares,DUST,-2,2010.12.08,NYSE Arca Gold Miners TR USD,90.8,6
"Direxion Daily Junior Gold Miners Index Bull 2X Shares",JNUG,2,2013.10.03,MVIS Global Junior Gold Miners NR USD,285.6,7
Direxion Daily Junior Gold Miners Index Bear 2X Shares,JDST,-2,2013.10.03,MVIS Global Junior Gold Miners NR USD,42.7,7
Direxion Daily Magnificent 7 Bull 2X Shares,QQQU,2,2024.03.06,Indxx Front of the Q,77.5,15
Direxion Daily NYSE FANG+ Bull 2X Shares,FNGG,2,2021.09.29,NYSE FANG+ TR USD,100.9,15
"Direxion Daily Robotics, Artificial Intelligence & Automation Index Bull 2X Shares",UBOT,2,2018.04.19,Indxx Global Robotics & AI Thematic USD,25.8,7
Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,GUSH,2,2015.05.28,S&P Oil&Gas Explor&Pro Sel Indust TR USD,354.6,64
"Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares",DRIP,-2,2015.05.28,S&P Oil&Gas Explor&Pro Sel Indust TR USD,36.1,8
Direxion Daily Travel & Vacation Bull 2X Shares,OOTO,2,2021.06.10,BlueStar Tvl and Vacation USD,6.4,54
Direxion Daily Uranium Industry Bull 2X Shares,URAA,2,2024.06.25,Solactive Gbl Uranium&Nclr Cmpnts TR USD,6.4,7
