Date,Open,High,Low,Close,Volume
2023-10-05,9445,9475,9170,9195,192690
2023-10-06,9225,9295,9000,9100,190024
2023-10-10,9220,9430,9060,9140,159963
2023-10-11,9265,9495,9265,9395,156991
2023-10-12,9465,9475,9270,9340,278254
2023-10-13,9335,9335,9050,9130,162518
2023-10-16,9085,9300,9050,9150,138676
2023-10-17,9170,9310,9075,9085,136268
2023-10-18,9155,9155,9005,9045,122047
2023-10-19,8905,8990,8730,8785,239458
2023-10-20,8670,8755,8560,8675,136060
2023-10-23,8670,8785,8500,8530,119779
2023-10-24,8550,8610,8300,8610,126598
2023-10-25,8680,8990,8650,8870,158852
2023-10-26,8730,8880,8555,8620,182314
2023-10-27,8675,8795,8470,8520,145536
2023-10-30,8560,8630,8435,8470,143683
2023-10-31,8515,8540,8100,8150,173668
2023-11-01,8160,8315,8125,8155,132483
2023-11-02,8330,8450,8330,8375,143455
2023-11-03,8515,8650,8390,8580,125471
2023-11-06,8815,9025,8635,9025,156561
2023-11-07,9000,9015,8765,8950,146123
2023-11-08,9055,9055,8620,8640,123138
2023-11-09,8620,8620,8380,8485,109299
2023-11-10,8470,8470,8360,8460,950668
2023-11-13,8585,8585,8210,8280,94081
2023-11-14,8340,8385,8280,8375,944057
2023-11-15,8640,8760,8465,8760,2085648
2023-11-16,8815,8835,8590,8835,117790
2023-11-17,8875,8875,8650,8685,115261
2023-11-20,8685,9140,8685,9110,3006671
2023-11-21,9180,9180,9030,9135,144614
2023-11-22,9150,9455,9150,9380,190566
2023-11-23,9400,9470,9255,9300,138299
2023-11-24,8975,9300,8830,8855,303043
2023-11-27,8865,9035,8800,9035,213449
2023-11-28,9115,9530,9055,9405,291532
2023-11-29,9585,9585,9300,9380,236383
2023-11-30,9490,9520,9275,9510,162789
2023-12-01,9570,9670,9530,9625,281730
2023-12-04,9665,9805,9665,9705,253526
2023-12-05,9670,9760,9485,9485,195295
2023-12-06,9490,9535,9385,9450,172466
2023-12-07,9390,9390,9290,9305,154760
2023-12-08,9340,9380,9270,9310,163690
2023-12-11,9310,9320,9150,9250,170339
2023-12-12,9330,9465,9230,9450,171025
2023-12-13,9350,9410,9280,9310,199635
2023-12-14,9385,9470,9310,9440,169387
2023-12-15,9440,9595,9440,9535,161912
2023-12-18,9585,9585,9250,9310,227535
2023-12-19,9360,9360,9185,9200,194950
2023-12-20,9225,9340,9225,9295,201901
2023-12-21,9285,9285,9010,9075,246736
2023-12-22,9025,9165,9025,9100,206014
2023-12-26,9195,9195,9045,9100,175111
2023-12-27,9025,9300,9025,9300,169280
2023-12-28,9300,9575,9300,9510,227855
2024-01-02,9510,9560,9445,9550,261150
2024-01-03,9450,9450,9215,9225,193014
2024-01-04,9225,9290,9170,9290,152944
2024-01-05,9325,9325,9100,9160,158755
2024-01-08,9160,9270,9135,9180,172675
2024-01-09,9290,9290,9020,9025,184480
2024-01-10,9125,9125,8920,9010,144126
2024-01-11,9120,9120,8820,8840,283203
2024-01-12,8800,8915,8800,8830,177179
2024-01-15,8835,9025,8805,9025,193647
2024-01-16,9060,9060,8725,8750,297620
2024-01-17,8690,8750,8470,8490,205040
2024-01-18,8495,8665,8475,8530,183046
2024-01-19,8670,8900,8630,8900,309877
2024-01-22,9100,9100,8880,8950,160715
2024-01-23,9035,9040,8835,8885,159617
2024-01-24,8950,8950,8650,8765,149875
2024-01-25,8840,8900,8650,8870,147904
2024-01-26,8870,8995,8810,8880,183131
2024-01-29,8990,8990,8745,8770,152260
2024-01-30,8880,8880,8510,8545,205720
2024-01-31,8575,8640,8515,8615,177798
2024-02-01,8505,8595,8485,8585,155965
2024-02-02,8585,8760,8555,8730,215709
2024-02-05,8820,8835,8615,8750,200830
2024-02-06,8750,8815,8700,8730,168209
2024-02-07,8805,8865,8770,8810,164214
2024-02-08,8900,8900,8785,8830,169027
2024-02-13,8835,8935,8695,8745,193657
2024-02-14,8670,8725,8540,8580,209604
2024-02-15,8670,8695,8555,8585,137271
2024-02-16,8640,8720,8615,8630,151472
2024-02-19,8750,8750,8605,8645,153648
2024-02-20,8700,8700,8505,8515,150462
2024-02-21,8580,8680,8535,8635,127751
2024-02-22,8700,8700,8555,8565,147553
2024-02-23,8660,8660,8520,8525,145666
