Number,Day(in),Day(out),Price(in),Price(out),Amount,Return
1,2015-05-29,2015-06-01,3288.8,3414.4,1.52,3.819022135733395
2,2015-06-04,2015-06-05,3408.8,3248.0,1.49,-4.717202534616292
3,2015-06-15,2015-06-18,3312.792,3577.6,1.49,7.993499139094758
4,2015-06-18,2015-06-22,3634.4,3988.0,1.42,9.729253797050404
5,2015-06-22,2015-06-23,4060.0,4268.0,1.33,5.123152709359606
6,2015-07-06,2015-07-07,3553.6,3600.0,1.56,1.3057181449797415
7,2015-07-10,2015-07-13,3760.0,3890.4,1.48,3.468085106382981
8,2015-07-13,2015-07-15,3975.992,4468.8,1.42,12.39459234324415
9,2015-07-24,2015-07-27,4304.8003,3764.0,1.39,-12.562726777360611
10,2015-07-28,2015-07-29,3936.0,4104.0,1.43,4.2682926829268295
11,2015-08-05,2015-08-06,4000.0,3800.8,1.43,-4.979999999999995
12,2015-08-11,2015-08-12,3056.0,2782.4,1.83,-8.95287958115183
13,2015-09-15,2015-09-16,2740.0,2648.0,1.95,-3.3576642335766427
14,2015-10-26,2015-10-27,1504.0,1488.8,3.49,-1.0106382978723434
15,2015-10-26,2015-10-27,1513.6,1489.0961,1.73,-1.618915169133188
16,2015-10-28,2015-10-29,1596.7999,1680.8,3.25,5.260527634051078
17,2015-10-28,2015-10-29,1610.392,1683.2,1.61,4.521135226702566
18,2015-11-02,2015-11-03,1605.6,1724.0,3.35,7.374190333831596
19,2015-11-02,2015-11-03,1627.1919,1720.0,1.66,5.703574360221432
20,2015-11-12,2015-11-13,1729.6,1599.2,3.27,-7.539315448658641
21,2015-11-12,2015-11-13,1741.6,1582.032,1.62,-9.16214974735875
22,2015-11-23,2015-11-24,1728.0,1726.4,3.07,-0.09259259259258733
23,2015-11-23,2015-11-24,1734.4,1729.6718,1.53,-0.27261300738007466
24,2015-11-24,2015-11-30,1788.8,1904.0,2.96,6.440071556350629
25,2015-11-24,2015-11-30,1808.0,1900.0,1.46,5.0884955752212395
26,2015-12-16,2015-12-17,1553.6,1694.4,3.56,9.062821833161701
27,2015-12-16,2015-12-17,1567.2,1600.0,1.76,2.0929045431342495
28,2015-12-23,2015-12-28,1732.0,1668.0,3.35,-3.695150115473441
29,2015-12-24,2015-12-28,1751.2,1665.6,1.65,-4.888076747373237
30,2015-12-28,2015-12-29,1700.0,1710.4,3.3,0.6117647058823583
31,2015-12-28,2015-12-31,1704.0,1714.4,1.65,0.610328638497658
32,2015-12-29,2015-12-31,1743.2,1704.0,2.42,-2.248737953189539
33,2015-12-29,2015-12-31,1752.792,1714.4,1.2,-2.1903340499043713
34,2016-01-04,2016-01-05,1598.3999,1529.6001,3.48,-4.30429206107932
35,2016-01-04,2016-01-05,1612.0,1520.0,1.72,-5.707196029776675
36,2016-02-17,2016-02-18,547.2,588.8,9.8,7.602339181286533
37,2016-02-17,2016-02-18,551.208,549.6,4.86,-0.2917229067792825
38,2016-02-17,2016-02-18,555.2,588.8,2.41,6.051873198847246
39,2016-04-18,2016-04-19,708.0,710.2,7.9,0.3107344632768426
40,2016-04-18,2016-04-19,711.598,704.798,3.93,-0.9555957155584972
41,2016-04-18,2016-04-19,720.0,710.2,1.94,-1.3611111111111047
42,2016-04-21,2016-04-22,707.4,709.4,7.88,0.28272547356516825
43,2016-04-21,2016-04-22,714.0,709.0,3.9,-0.700280112044818
44,2016-04-21,2016-04-22,719.0,709.4,1.94,-1.3351877607788627
45,2016-04-28,2016-04-29,666.784,640.4,8.33,-3.956903584969048
46,2016-04-28,2016-04-29,672.2,640.2,4.13,-4.760487950014877
47,2016-04-28,2016-04-29,678.6,640.4,2.05,-5.629236663719428
48,2016-05-06,2016-05-10,495.338,557.2,10.77,12.488846000104983
49,2016-05-06,2016-05-10,499.988,526.47,5.33,5.296527116650805
50,2016-05-23,2016-05-24,610.0,638.2,9.4,4.6229508196721385
51,2016-05-23,2016-05-25,616.238,673.0,4.65,9.211051574229428
52,2016-05-23,2016-05-24,622.0,638.2,2.3,2.604501607717049
53,2016-05-24,2016-05-26,655.998,658.2,6.78,0.335671755096814
54,2016-05-25,2016-05-26,685.6,657.0,5.52,-4.1715285880980195
55,2016-05-25,2016-05-26,690.2021,658.2,2.74,-4.636627445787245
56,2016-05-25,2016-05-26,693.6,655.8001,1.36,-5.449812572087655
57,2016-05-27,2016-05-31,673.6,706.2,8.7,4.839667458432307
58,2016-05-27,2016-06-03,679.4,755.4,4.31,11.186340889019723
59,2016-05-27,2016-05-31,681.6001,706.2,2.15,3.6091397287060323
60,2016-05-31,2016-06-03,724.112,756.2,6.29,4.431358684844345
61,2016-05-31,2016-06-03,731.4,755.4,3.12,3.281378178835111
62,2016-05-31,2016-06-03,733.8,756.2,1.55,3.052602889070604
63,2016-06-09,2016-06-10,740.6,648.6,8.55,-12.422360248447205
64,2016-06-09,2016-06-10,745.6,640.6,4.25,-14.082618025751072
65,2016-06-09,2016-06-10,747.096,648.6,2.12,-13.183847858909695
66,2016-06-13,2016-06-14,630.8001,601.4,8.89,-4.6607633702023925
67,2016-06-13,2016-06-14,637.0561,602.0,4.4,-5.502827772938681
68,2016-06-13,2016-06-14,642.0,601.4,2.18,-6.323987538940814
69,2016-06-16,2016-06-17,599.6,614.0,8.92,2.401601067378248
70,2016-06-16,2016-06-17,602.2,583.992,4.44,-3.023580205911671
71,2016-06-24,2016-06-27,539.2,495.2,9.95,-8.160237388724045
72,2016-06-24,2016-06-27,545.6001,492.2461,4.92,-9.778957151950667
73,2016-06-24,2016-06-27,550.8001,495.2,2.43,-10.094424456349962
74,2016-07-06,2016-07-07,593.0,657.2,8.33,10.826306913996635
75,2016-07-08,2016-07-11,673.198,693.2,7.73,2.9711912394273408
76,2016-07-08,2016-07-13,678.4,670.6,3.84,-1.1497641509433896
77,2016-07-08,2016-07-11,684.0,693.2,1.9,1.3450292397660886
78,2016-07-12,2016-07-13,707.4,668.2,5.63,-5.541419281877288
79,2016-07-15,2016-07-18,638.816,664.6,8.07,4.036217001452687
