Number,Day(in),Day(out),Price(in),Price(out),Amount,Return
1,2015-05-29,2015-06-01,3308.0,3414.4,1.51,3.216444981862155
2,2015-06-04,2015-06-05,3427.2,3248.0,1.48,-5.228758169934636
3,2015-06-15,2015-06-18,3332.0,3577.6,1.48,7.370948379351738
4,2015-06-18,2015-06-22,3641.6,3988.0,1.4,9.51230228471002
5,2015-06-22,2015-06-23,4076.0,4268.0,1.31,4.710500490677134
6,2015-07-06,2015-07-07,3594.952,3600.0,1.52,0.14041912103415494
7,2015-07-10,2015-07-13,3772.0,3890.4,1.45,3.1389183457051986
8,2015-07-13,2015-07-15,4008.744,4468.8,1.38,11.476312780262347
9,2015-07-24,2015-07-27,4352.816,3764.0,1.34,-13.527243053692134
10,2015-07-28,2015-07-29,3969.6,4104.0,1.37,3.3857315598548996
11,2015-08-05,2015-08-06,4020.0,3800.8,1.38,-5.452736318407956
12,2015-08-11,2015-08-12,3070.4001,2782.4,1.76,-9.379888308367361
13,2015-09-15,2015-09-16,2751.192,2648.0,1.87,-3.750810557750968
14,2015-10-26,2015-10-27,1510.104,1488.8,3.34,-1.4107637619660691
15,2015-10-26,2015-10-27,1529.6001,1489.0961,1.65,-2.6480123791832995
16,2015-10-28,2015-10-29,1606.4,1680.8,3.09,4.631474103585648
17,2015-10-28,2015-10-29,1628.0,1683.2,1.53,3.390663390663393
18,2015-11-02,2015-11-03,1619.2,1724.0,3.16,6.472332015810274
19,2015-11-02,2015-11-03,1642.4,1720.0,1.56,4.724792985874324
20,2015-11-12,2015-11-13,1740.8,1599.2,3.07,-8.134191176470583
21,2015-11-23,2015-11-24,1733.6,1726.4,2.95,-0.4153207198892373
22,2015-11-23,2015-11-24,1750.392,1729.6718,1.46,-1.1837462694070802
23,2015-11-24,2015-11-30,1804.0,1904.0,2.82,5.543237250554324
24,2015-11-25,2015-11-30,1842.4,1900.0,1.38,3.126356925749018
25,2015-12-16,2015-12-17,1567.2,1694.4,2.52,8.116385911179176
26,2015-12-16,2015-12-17,1585.6,1600.0,1.25,0.9081735620585325
27,2015-12-24,2015-12-28,1758.4,1668.0,2.34,-5.141037306642407
28,2015-12-28,2015-12-29,1704.048,1710.4,1.21,0.37275945278537276
29,2015-12-28,2015-12-31,1704.0,1714.4,1.75,0.610328638497658
30,2015-12-29,2015-12-31,1751.2,1704.0,1.44,-2.6952946550936527
31,2016-02-17,2016-02-18,550.4,588.8,7.25,6.976744186046507
32,2016-02-17,2016-02-18,555.2,549.6,3.59,-1.0086455331412143
33,2016-02-17,2016-02-18,561.736,588.8,1.78,4.81792158594072
34,2016-04-18,2016-04-19,710.598,710.2,5.82,-0.05600916411246737
35,2016-04-18,2016-04-19,720.0,704.798,2.87,-2.1113888888888885
36,2016-04-18,2016-04-19,724.0,710.2,1.43,-1.9060773480662923
37,2016-04-21,2016-04-22,710.8001,709.4,5.77,-0.19697521145538185
38,2016-04-21,2016-04-22,719.0,709.0,2.85,-1.3908205841446455
39,2016-04-21,2016-04-22,727.0,709.4,1.41,-2.4209078404401683
40,2016-04-28,2016-04-29,672.8,640.4,6.04,-4.815695600475621
41,2016-04-28,2016-04-29,678.4,640.2,3.0,-5.630896226415085
42,2016-04-28,2016-04-29,687.8,640.4,1.47,-6.89153823785984
43,2016-05-06,2016-05-10,497.8,557.2,7.78,11.932503013258343
44,2016-05-06,2016-05-10,504.998,526.47,3.83,4.251898027318927
45,2016-05-23,2016-05-24,614.4,638.2,6.74,3.873697916666678
46,2016-05-23,2016-05-25,622.0,673.0,3.32,8.19935691318328
47,2016-05-23,2016-05-24,629.0,638.2,1.64,1.4626391096979405
48,2016-05-25,2016-05-26,690.2021,658.2,6.24,-4.636627445787245
49,2016-05-27,2016-05-31,676.0,706.2,6.22,4.467455621301782
50,2016-05-27,2016-06-03,681.6001,755.4,3.08,10.827448528836774
51,2016-05-31,2016-06-03,727.398,756.2,4.46,3.9595929601126234
52,2016-05-31,2016-06-03,734.6,755.4,2.21,2.831472910427437
53,2016-05-31,2016-06-03,742.2,756.2,1.09,1.886284020479655
54,2016-06-09,2016-06-10,744.968,648.6,6.04,-12.935857647576801
55,2016-06-09,2016-06-10,749.0,640.6,3.0,-14.472630173564749
56,2016-06-13,2016-06-14,637.0561,601.4,6.34,-5.597011001071968
57,2016-06-13,2016-06-14,642.0,602.0,3.14,-6.230529595015576
58,2016-06-16,2016-06-17,602.2,614.0,6.41,1.9594818997010883
59,2016-06-24,2016-06-27,544.0,495.2,7.16,-8.97058823529412
60,2016-06-24,2016-06-27,553.2301,492.2461,3.52,-11.023261387983045
61,2016-07-06,2016-07-07,596.6,657.2,6.05,10.157559503855182
62,2016-07-06,2016-07-07,603.088,636.2,2.99,5.4904093598280985
63,2016-07-06,2016-07-07,608.8,657.2,1.48,7.9500657030223545
64,2016-07-08,2016-07-11,678.0,693.2,5.71,2.2418879056047265
65,2016-07-08,2016-07-13,686.0,670.6,2.82,-2.24489795918367
66,2016-07-15,2016-07-18,644.2,664.6,6.04,3.166718410431539
67,2016-07-15,2016-07-19,648.0,644.6,3.0,-0.5246913580246878
68,2016-07-15,2016-07-18,654.2,664.6,1.48,1.5897279119535275
69,2016-07-26,2016-07-27,747.0,766.8,5.29,2.650602409638548
70,2016-07-26,2016-07-28,754.2,791.8,2.61,4.985415009281345
71,2016-07-26,2016-07-27,760.4,766.8,1.3,0.8416622830089396
72,2016-07-27,2016-07-28,788.4,788.6,3.83,0.025367833587017434
73,2016-07-27,2016-07-28,795.0,791.8,1.89,-0.40251572327044594
74,2016-07-29,2016-08-01,822.0,864.0,4.92,5.109489051094891
75,2016-07-29,2016-08-01,831.888,886.0,2.43,6.504721789471655
76,2016-08-01,2016-08-02,892.8,885.6,3.51,-0.8064516129032182
77,2016-08-01,2016-08-02,904.2,886.6,1.73,-1.9464720194647227
78,2016-08-15,2016-08-16,886.8,854.4,4.71,-3.6535859269282787
79,2016-08-15,2016-08-16,894.598,848.0,2.33,-5.208820051017324
80,2016-08-18,2016-08-23,840.704,908.0,4.81,8.004719853836791
81,2016-08-22,2016-08-24,861.6,893.202,2.34,3.6678272980501365
82,2016-08-22,2016-08-23,865.0,908.0,1.17,4.971098265895954
83,2016-08-24,2016-08-25,909.3521,793.6261,3.54,-12.72620363443379
84,2016-08-24,2016-08-25,914.8,786.4,1.75,-14.03585483165719
85,2016-08-30,2016-08-31,795.8001,762.6001,4.95,-4.171901963822327
86,2016-08-30,2016-08-31,804.0,757.2,2.45,-5.820895522388054
87,2016-09-06,2016-09-09,788.0,838.0,4.82,6.345177664974619
88,2016-09-06,2016-09-09,796.2,837.248,2.38,5.155488570710877
89,2016-09-06,2016-09-09,804.6,838.0,1.18,4.151130996768577
90,2016-09-14,2016-09-16,874.0,878.6,4.55,0.5263157894736868
91,2016-09-14,2016-09-16,882.4,879.6,2.26,-0.31731640979147263
92,2016-09-14,2016-09-16,894.524,878.6,1.11,-1.7801646462252525
93,2016-09-19,2016-09-21,964.6,1058.0,4.12,9.682770060128549
94,2016-09-19,2016-09-21,971.822,1021.2,2.04,5.080971618259316
95,2016-09-19,2016-09-21,980.4,1058.0,1.01,7.915136678906571
96,2016-09-23,2016-09-26,1113.402,1057.0,3.82,-5.065735466614937
97,2016-09-27,2016-09-28,1068.2,1104.0,3.88,3.35143231604568
98,2016-09-27,2016-09-28,1072.8,1052.2,1.93,-1.9202087994034218
99,2016-10-04,2016-10-06,979.4,936.4,4.27,-4.3904431284459875
100,2016-10-04,2016-10-06,987.6,936.2,2.12,-5.20453624949372
101,2016-10-05,2016-10-06,994.0,936.4,1.05,-5.7947686116700226
102,2016-10-10,2016-10-11,937.4,896.6,4.27,-4.352464262854699
103,2016-10-11,2016-10-12,930.8,851.0,2.15,-8.573270305113876
104,2016-10-11,2016-10-12,936.2,848.902,1.07,-9.32471694082461
105,2016-10-20,2016-10-24,692.4,686.8,5.46,-0.8087810514153702
106,2016-10-20,2016-10-24,699.9981,685.392,2.7,-2.0865913778908785
107,2016-10-20,2016-10-24,708.794,686.8,1.33,-3.1030172377305716
108,2016-11-01,2016-11-02,598.4,573.46,6.23,-4.167780748663092
109,2016-11-01,2016-11-02,602.2,573.4,3.09,-4.782464297575567
110,2016-11-16,2016-11-17,970.83,880.0,3.71,-9.355911951629023
111,2016-12-14,2016-12-19,700.0,708.8,4.9,1.2571428571428507
112,2016-12-14,2016-12-19,704.2,705.588,2.43,0.19710309571143422
113,2016-12-15,2016-12-19,718.6,708.8,1.19,-1.3637628722516097
114,2017-01-06,2017-01-09,764.0,821.6001,4.51,7.5392801047120415
115,2017-01-06,2017-01-09,772.558,797.8,2.22,3.267327501624469
