Number,Day(in),Day(out),Price(in),Price(out),Amount,Return
1,2015-05-29,2015-06-01,3254.4,3414.4,1.53,4.916420845624385
2,2015-06-03,2015-06-04,3408.0,3252.0,1.5,-4.577464788732395
3,2015-06-11,2015-06-12,3476.0,3296.0,1.43,-5.178365937859609
4,2015-06-15,2015-06-18,3295.2,3577.6,1.47,8.57004127215344
5,2015-06-22,2015-06-23,4040.0,4268.0,1.25,5.643564356435644
6,2015-07-06,2015-07-07,3516.0,3600.0,1.48,2.3890784982935154
7,2015-07-10,2015-07-13,3744.0,3890.4,1.4,3.9102564102564132
8,2015-07-13,2015-07-15,3960.0,4468.8,1.35,12.848484848484853
9,2015-07-24,2015-07-27,4284.8003,3764.0,1.33,-12.154599130325861
10,2015-07-28,2015-07-29,3910.4,4104.0,1.36,4.950900163666119
11,2015-08-05,2015-08-06,3977.6,3800.8,1.37,-4.44489139179404
12,2015-08-11,2015-08-12,3029.5999,2782.4,1.76,-8.159489970936429
13,2015-09-15,2015-09-16,2710.4001,2648.0,1.89,-2.302246815885221
14,2015-10-26,2015-10-27,1492.0,1488.8,3.4,-0.2144772117962497
15,2015-10-26,2015-10-27,1496.7999,1489.0961,1.69,-0.514684694994969
16,2015-10-28,2015-10-29,1584.7999,1680.8,3.19,6.057553385761823
17,2015-10-28,2015-10-29,1592.0,1683.2,1.58,5.728643216080405
18,2015-11-02,2015-11-03,1596.7999,1724.0,2.47,7.9659386251214075
19,2015-11-02,2015-11-03,1605.6,1720.0,1.23,7.12506228201296
20,2015-11-12,2015-11-13,1717.6,1599.2,2.42,-6.89333954354913
21,2015-11-12,2015-11-13,1729.6,1582.032,1.2,-8.53191489361702
22,2015-11-23,2015-11-24,1719.2,1726.4,2.28,0.4187994416007472
23,2015-11-23,2015-11-24,1725.6,1729.6718,1.14,0.2359643022716833
24,2015-11-24,2015-11-30,1788.8,1904.0,2.2,6.440071556350629
25,2015-11-24,2015-11-30,1802.4,1900.0,1.09,5.415002219263199
26,2015-12-11,2015-12-14,1535.912,1404.0,2.68,-8.588512883550623
27,2015-12-16,2015-12-17,1542.4401,1694.4,2.55,9.851915805352835
