Number,Day(in),Day(out),Price(in),Price(out),Amount,Return
1,2015-05-29,2015-06-01,3288.8,3414.4,1.52,3.819022135733395
2,2015-06-04,2015-06-05,3427.2,3248.0,1.48,-5.228758169934636
3,2015-06-15,2015-06-18,3320.792,3577.6,1.49,7.733335903001453
4,2015-06-18,2015-06-22,3634.4,3988.0,1.41,9.729253797050404
5,2015-06-22,2015-06-23,4066.4,4268.0,1.32,4.957702144402909
6,2015-07-06,2015-07-07,3572.8,3600.0,1.54,0.7613076578593768
7,2015-07-10,2015-07-13,3772.0,3890.4,1.46,3.1389183457051986
8,2015-07-13,2015-07-15,3991.2,4468.8,1.4,11.966325917017448
9,2015-07-24,2015-07-27,4340.8,3764.0,1.37,-13.287873203096206
10,2015-07-28,2015-07-29,3950.84,4104.0,1.4,3.876643954197078
11,2015-08-05,2015-08-06,4000.0,3800.8,1.41,-4.979999999999995
12,2015-08-11,2015-08-12,3065.736,2782.4,1.79,-9.242022144111555
13,2015-09-15,2015-09-16,2746.4001,2648.0,1.91,-3.5828756341801706
14,2015-10-26,2015-10-27,1509.6001,1488.8,3.41,-1.3778549696704547
15,2015-10-26,2015-10-27,1523.136,1489.0961,1.69,-2.2348562439598294
16,2015-10-28,2015-10-29,1605.088,1680.8,2.38,4.7169999401901945
17,2015-10-28,2015-10-29,1617.168,1683.2,1.18,4.083187399206524
18,2015-11-02,2015-11-03,1614.488,1724.0,2.44,6.783079217683868
19,2015-11-12,2015-11-13,1731.848,1599.2,2.35,-7.659332689704865
20,2015-11-23,2015-11-24,1733.6,1726.4,2.26,-0.4153207198892373
21,2015-11-23,2015-11-24,1744.8,1729.6718,1.12,-0.8670449335167285
22,2015-11-24,2015-11-30,1796.8,1904.0,2.17,5.966162065894927
23,2015-11-25,2015-11-30,1836.8,1900.0,1.06,3.4407665505226506
24,2015-12-16,2015-12-17,1560.8,1694.4,2.59,8.559712967708876
25,2015-12-16,2015-12-17,1577.6,1600.0,1.28,1.4198782961460505
26,2015-12-23,2015-12-28,1740.0,1668.0,2.43,-4.137931034482759
27,2015-12-24,2015-12-28,1754.4,1665.6,1.2,-5.06155950752395
28,2015-12-28,2015-12-29,1704.0,1710.4,2.39,0.3755868544600992
29,2015-12-29,2015-12-31,1746.4,1714.4,2.34,-1.832340815391663
30,2015-12-29,2015-12-31,1760.0,1704.0,1.16,-3.1818181818181817
31,2016-01-04,2016-01-05,1599.864,1529.6001,2.51,-4.391867058699985
32,2016-02-17,2016-02-18,548.8,588.8,7.15,7.288629737609329
33,2016-02-17,2016-02-18,553.6,549.6,3.54,-0.7225433526011561
34,2016-02-17,2016-02-18,558.4,588.8,1.75,5.444126074498564
35,2016-04-18,2016-04-19,710.0,710.2,5.75,0.028169014084513447
36,2016-04-18,2016-04-19,715.0,704.798,2.85,-1.4268531468531467
37,2016-04-18,2016-04-19,721.398,710.2,1.41,-1.5522637989015744
38,2016-04-21,2016-04-22,707.802,709.4,5.73,0.22576935357627648
39,2016-04-21,2016-04-22,716.4,709.0,2.82,-1.0329424902289193
40,2016-04-21,2016-04-22,722.0,709.4,1.4,-1.7451523545706404
41,2016-04-28,2016-04-29,668.0,640.4,6.04,-4.131736526946112
42,2016-04-28,2016-04-29,676.0,640.2,2.98,-5.2958579881656735
43,2016-04-28,2016-04-29,681.398,640.4,1.48,-6.016747921185569
44,2016-05-06,2016-05-10,495.338,557.2,7.8,12.488846000104983
45,2016-05-06,2016-05-10,501.8,526.47,3.84,4.9163013152650485
46,2016-05-23,2016-05-24,611.516,638.2,6.78,4.363581656080967
47,2016-05-23,2016-05-25,619.4,673.0,3.34,8.653535679690027
48,2016-05-23,2016-05-24,624.184,638.2,1.66,2.245491713981787
49,2016-05-25,2016-05-26,687.306,658.2,6.3,-4.234794982147689
50,2016-05-25,2016-05-26,693.6,657.0,3.12,-5.276816608996543
51,2016-05-27,2016-05-31,674.0,706.2,6.2,4.777448071216623
52,2016-05-27,2016-06-03,679.4,755.4,3.07,11.186340889019723
53,2016-05-27,2016-05-31,684.6,706.2,1.53,3.1551270815074526
54,2016-05-31,2016-06-03,727.398,756.2,4.47,3.9595929601126234
55,2016-05-31,2016-06-03,731.4,755.4,2.22,3.281378178835111
56,2016-05-31,2016-06-03,737.8,756.2,1.1,2.4939007861209124
57,2016-06-09,2016-06-10,740.6,648.6,6.08,-12.422360248447205
58,2016-06-09,2016-06-10,745.6,640.6,3.02,-14.082618025751072
59,2016-06-09,2016-06-10,751.4,648.6,1.5,-13.681128560021289
60,2016-06-13,2016-06-14,633.6,601.4,6.29,-5.082070707070714
61,2016-06-13,2016-06-14,640.0,602.0,3.11,-5.9375
62,2016-06-13,2016-06-14,646.2,601.4,1.54,-6.932838130609728
63,2016-06-16,2016-06-17,601.378,614.0,6.29,2.0988463162935718
64,2016-06-16,2016-06-17,605.8001,583.992,3.12,-3.5998838560772897
65,2016-06-24,2016-06-27,542.0,495.2,6.99,-8.634686346863472
66,2016-06-24,2016-06-27,549.6,492.2461,3.44,-10.43557132459971
67,2016-07-06,2016-07-07,596.6,657.2,5.9,10.157559503855182
68,2016-07-06,2016-07-07,601.716,636.2,2.92,5.730942836820034
69,2016-07-08,2016-07-11,675.4,693.2,5.54,2.635475273911766
70,2016-07-08,2016-07-13,682.0,670.6,2.75,-1.67155425219941
71,2016-07-08,2016-07-11,688.046,693.2,1.36,0.7490778232850704
72,2016-07-15,2016-07-18,642.0,664.6,5.88,3.5202492211838043
73,2016-07-15,2016-07-19,645.8001,644.6,2.92,-0.185831498013088
