Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-11-11 00:00:00+09:00,147929.71875,184541.09375,140508.5,159803.6875,8226950,0.0,0.0
2016-11-14 00:00:00+09:00,163266.921875,175635.625,163266.921875,173656.640625,3008779,0.0,0.0
2016-11-15 00:00:00+09:00,177119.875,179593.609375,160793.1875,164256.421875,2620473,0.0,0.0
2016-11-16 00:00:00+09:00,166730.15625,171182.890625,161782.671875,168214.40625,1678607,0.0,0.0
2016-11-17 00:00:00+09:00,174646.125,175635.625,165740.65625,165740.65625,921943,0.0,0.0
2016-11-18 00:00:00+09:00,165245.921875,166235.40625,155845.703125,166235.40625,1326381,0.0,0.0
2016-11-21 00:00:00+09:00,165740.65625,170193.390625,162277.421875,167224.90625,648940,0.0,0.0
2016-11-22 00:00:00+09:00,168214.40625,172172.390625,167224.90625,169203.90625,574272,0.0,0.0
2016-11-23 00:00:00+09:00,170688.140625,170688.140625,163266.921875,164256.421875,463958,0.0,0.0
2016-11-24 00:00:00+09:00,163266.921875,163761.671875,153866.703125,153866.703125,846788,0.0,0.0
2016-11-25 00:00:00+09:00,152382.453125,161782.671875,151392.96875,160298.4375,709825,0.0,0.0
2016-11-28 00:00:00+09:00,159308.9375,163761.671875,157329.9375,159803.6875,415697,0.0,0.0
2016-11-29 00:00:00+09:00,155845.703125,157329.9375,149413.96875,155350.953125,903408,0.0,0.0
2016-11-30 00:00:00+09:00,154361.453125,156835.1875,148919.21875,152382.453125,2470875,0.0,0.0
2016-12-01 00:00:00+09:00,151887.71875,152382.453125,142487.5,142982.25,861332,0.0,0.0
2016-12-02 00:00:00+09:00,142982.25,144466.484375,137540.015625,140508.5,710005,0.0,0.0
2016-12-05 00:00:00+09:00,141992.75,144961.234375,140508.5,140508.5,411278,0.0,0.0
2016-12-06 00:00:00+09:00,141003.25,146445.484375,141003.25,144466.484375,414002,0.0,0.0
2016-12-07 00:00:00+09:00,144961.234375,150403.46875,144961.234375,148919.21875,349342,0.0,0.0
2016-12-08 00:00:00+09:00,150898.21875,152877.203125,145455.984375,148919.21875,363582,0.0,0.0
2016-12-09 00:00:00+09:00,148919.21875,148919.21875,142982.25,143476.984375,291304,0.0,0.0
2016-12-12 00:00:00+09:00,143476.984375,146445.484375,141003.25,141498.0,318133,0.0,0.0
2016-12-13 00:00:00+09:00,141992.75,143971.734375,139519.0,143971.734375,243242,0.0,0.0
2016-12-14 00:00:00+09:00,145455.984375,145455.984375,141003.25,141992.75,187910,0.0,0.0
2016-12-15 00:00:00+09:00,141003.25,142487.5,139519.0,141003.25,204507,0.0,0.0
2016-12-16 00:00:00+09:00,141498.0,142982.25,140013.75,142982.25,234979,0.0,0.0
2016-12-19 00:00:00+09:00,142487.5,149413.96875,141498.0,148424.46875,357983,0.0,0.0
2016-12-20 00:00:00+09:00,149908.71875,151887.71875,148424.46875,149908.71875,269042,0.0,0.0
2016-12-21 00:00:00+09:00,150898.21875,151392.96875,146445.484375,146445.484375,148704,0.0,0.0
2016-12-22 00:00:00+09:00,146445.484375,147434.984375,142487.5,142487.5,156887,0.0,0.0
2016-12-23 00:00:00+09:00,142487.5,144961.234375,142487.5,142487.5,87431,0.0,0.0
2016-12-26 00:00:00+09:00,143476.984375,143971.734375,142487.5,142487.5,63657,0.0,0.0
2016-12-27 00:00:00+09:00,142487.5,145455.984375,142487.5,143971.734375,108924,0.0,0.0
2016-12-28 00:00:00+09:00,145950.734375,153371.953125,145455.984375,150403.46875,320140,0.0,0.0
2016-12-29 00:00:00+09:00,149413.96875,150898.21875,147929.71875,149413.96875,127214,0.0,0.0
2017-01-02 00:00:00+09:00,149908.71875,156340.453125,149413.96875,154856.203125,244816,0.0,0.0
2017-01-03 00:00:00+09:00,154856.203125,156340.453125,152877.203125,156340.453125,165392,0.0,0.0
2017-01-04 00:00:00+09:00,157824.6875,159308.9375,152877.203125,152877.203125,182055,0.0,0.0
2017-01-05 00:00:00+09:00,154361.453125,156340.453125,154361.453125,155845.703125,97027,0.0,0.0
2017-01-06 00:00:00+09:00,156340.453125,156835.1875,153866.703125,155845.703125,89040,0.0,0.0
2017-01-09 00:00:00+09:00,155845.703125,156340.453125,151392.96875,152877.203125,126205,0.0,0.0
2017-01-10 00:00:00+09:00,152382.453125,152382.453125,148919.21875,149413.96875,158364,0.0,0.0
2017-01-11 00:00:00+09:00,149908.71875,159308.9375,149908.71875,157329.9375,356770,0.0,0.0
2017-01-12 00:00:00+09:00,155845.703125,156835.1875,152877.203125,155350.953125,153352,0.0,0.0
2017-01-13 00:00:00+09:00,153371.953125,156340.453125,150898.21875,151392.96875,187096,0.0,0.0
2017-01-16 00:00:00+09:00,152382.453125,152877.203125,149413.96875,149908.71875,126866,0.0,0.0
2017-01-17 00:00:00+09:00,149413.96875,152382.453125,148424.46875,150403.46875,112126,0.0,0.0
2017-01-18 00:00:00+09:00,151392.96875,151887.71875,150403.46875,151392.96875,74453,0.0,0.0
2017-01-19 00:00:00+09:00,153866.703125,154856.203125,150403.46875,150898.21875,97421,0.0,0.0
2017-01-20 00:00:00+09:00,150898.21875,153866.703125,150403.46875,153371.953125,80600,0.0,0.0
2017-01-23 00:00:00+09:00,154361.453125,154856.203125,152382.453125,153866.703125,90456,0.0,0.0
2017-01-24 00:00:00+09:00,153866.703125,154361.453125,150898.21875,153371.953125,113472,0.0,0.0
2017-01-25 00:00:00+09:00,154361.453125,154856.203125,150898.21875,153371.953125,142179,0.0,0.0
2017-01-26 00:00:00+09:00,154856.203125,162277.421875,153866.703125,159308.9375,411515,0.0,0.0
2017-01-31 00:00:00+09:00,160298.4375,162277.421875,158814.1875,159308.9375,231417,0.0,0.0
2017-02-01 00:00:00+09:00,160298.4375,161287.921875,157824.6875,161287.921875,139683,0.0,0.0
2017-02-02 00:00:00+09:00,161782.671875,171182.890625,160793.1875,169698.65625,604184,0.0,0.0
2017-02-03 00:00:00+09:00,171677.640625,174646.125,169698.65625,171182.890625,403660,0.0,0.0
2017-02-06 00:00:00+09:00,170193.390625,170688.140625,165245.921875,166730.15625,254197,0.0,0.0
2017-02-07 00:00:00+09:00,166730.15625,170688.140625,165245.921875,169698.65625,215009,0.0,0.0
2017-02-08 00:00:00+09:00,169698.65625,170193.390625,159803.6875,161287.921875,378040,0.0,0.0
2017-02-09 00:00:00+09:00,161287.921875,164256.421875,158814.1875,159308.9375,221701,0.0,0.0
