"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 01- 31","11,640","11,300","11,660","11,300","437.22K","4.07%"
"2025- 01- 24","11,185","11,140","11,260","11,130","22.31K","0.49%"
"2025- 01- 23","11,130","11,220","11,275","11,125","38.79K","-0.49%"
"2025- 01- 22","11,185","11,335","11,345","11,150","30.27K","-0.89%"
"2025- 01- 21","11,285","11,295","11,415","11,240","25.08K","0.00%"
"2025- 01- 20","11,285","11,380","11,445","11,250","292.70K","-0.88%"
"2025- 01- 17","11,385","11,275","11,400","11,265","23.03K","0.44%"
"2025- 01- 16","11,335","11,510","11,510","11,280","22.98K","-0.04%"
"2025- 01- 15","11,340","11,380","11,465","11,240","25.23K","0.00%"
"2025- 01- 14","11,340","11,190","11,355","11,190","16.41K","1.34%"
"2025- 01- 13","11,190","11,165","11,270","11,130","16.22K","-0.44%"
"2025- 01- 10","11,240","11,225","11,260","11,140","207.09K","0.67%"
"2025- 01- 09","11,165","11,300","11,300","11,135","566.24K","-0.58%"
"2025- 01- 08","11,230","11,340","11,390","11,225","55.28K","-1.27%"
"2025- 01- 07","11,375","11,485","11,610","11,350","46.76K","-0.74%"
"2025- 01- 06","11,460","11,210","11,495","11,190","40.29K","2.41%"
"2025- 01- 03","11,190","10,900","11,275","10,900","50.15K","2.66%"
"2025- 01- 02","10,900","11,060","11,115","10,810","61.12K","-0.91%"
"2024- 12- 30","11,000","11,005","11,130","10,900","499.20K","-0.36%"
"2024- 12- 27","11,040","11,120","11,125","10,915","33.29K","-0.50%"
"2024- 12- 26","11,095","11,220","11,220","11,095","26.02K","-1.11%"
"2024- 12- 24","11,220","11,270","11,325","11,165","89.90K","-0.13%"
"2024- 12- 23","11,235","11,485","11,485","11,195","35.94K","-1.40%"
"2024- 12- 20","11,395","11,585","11,590","11,360","25.03K","-1.51%"
"2024- 12- 19","11,570","11,565","11,720","11,520","15.29K","-2.49%"
"2024- 12- 18","11,865","11,765","11,955","11,730","16.12K","0.25%"
"2024- 12- 17","11,835","12,025","12,060","11,805","29.83K","-1.42%"
"2024- 12- 16","12,005","12,270","12,270","11,995","26.93K","-0.91%"
"2024- 12- 13","12,115","11,775","12,240","11,775","92.61K","2.84%"
"2024- 12- 12","11,780","11,940","11,945","11,610","41.62K","-0.84%"
"2024- 12- 11","11,880","11,545","11,880","11,540","34.52K","2.95%"
"2024- 12- 10","11,540","11,350","11,555","11,345","46.20K","2.76%"
"2024- 12- 09","11,230","11,445","11,540","11,200","55.21K","-3.73%"
"2024- 12- 06","11,665","11,665","11,775","11,440","49.35K","-0.13%"
"2024- 12- 05","11,680","12,095","12,095","11,680","84.72K","-3.79%"
"2024- 12- 04","12,140","11,800","12,180","11,795","118.24K","0.91%"
"2024- 12- 03","12,030","12,025","12,105","11,940","54.37K","0.67%"
"2024- 12- 02","11,950","11,825","12,095","11,795","120.25K","2.05%"
"2024- 11- 29","11,710","11,540","11,815","11,420","124.76K","1.30%"
"2024- 11- 28","11,560","11,620","11,645","11,480","49.53K","-0.09%"
"2024- 11- 27","11,570","11,290","11,580","11,260","112.75K","2.66%"
"2024- 11- 26","11,270","11,130","11,270","11,105","114.54K","0.58%"
"2024- 11- 25","11,205","11,200","11,205","11,020","37.71K","1.08%"
"2024- 11- 22","11,085","10,900","11,145","10,900","43.20K","0.86%"
"2024- 11- 21","10,990","11,100","11,100","10,930","31.32K","-0.54%"
"2024- 11- 20","11,050","11,050","11,080","10,970","29.89K","-0.23%"
"2024- 11- 19","11,075","10,820","11,075","10,800","86.75K","2.31%"
"2024- 11- 18","10,825","10,555","10,825","10,555","51.20K","1.69%"
"2024- 11- 15","10,645","10,440","10,690","10,380","17.16K","1.43%"
"2024- 11- 14","10,495","10,380","10,600","10,380","22.78K","0.72%"
"2024- 11- 13","10,420","10,400","10,550","10,335","45.55K","-0.38%"
"2024- 11- 12","10,460","10,640","10,700","10,445","16.19K","-1.69%"
"2024- 11- 11","10,640","10,875","10,875","10,640","35.30K","-1.75%"
"2024- 11- 08","10,830","11,255","11,255","10,795","31.29K","-3.22%"
"2024- 11- 07","11,190","11,200","11,205","11,010","28.90K","-0.04%"
"2024- 11- 06","11,195","11,255","11,330","11,080","32.59K","-0.22%"
"2024- 11- 05","11,220","11,080","11,275","10,990","28.11K","0.85%"
"2024- 11- 04","11,125","10,850","11,150","10,845","34.04K","2.58%"
"2024- 11- 01","10,845","10,805","10,870","10,730","15.50K","-0.50%"
"2024- 10- 31","10,900","11,035","11,070","10,825","18.62K","-1.31%"
"2024- 10- 30","11,045","11,000","11,125","10,945","17.10K","0.68%"
"2024- 10- 29","10,970","10,980","10,995","10,870","16.31K","0.41%"
"2024- 10- 28","10,925","10,745","10,945","10,745","40.45K","1.20%"
"2024- 10- 25","10,795","10,980","10,980","10,760","12.31K","-1.10%"
"2024- 10- 24","10,915","10,900","10,925","10,785","8.87K","0.41%"
"2024- 10- 23","10,870","10,945","10,960","10,730","21.07K","0.18%"
"2024- 10- 22","10,850","11,060","11,060","10,780","16.74K","-2.08%"
"2024- 10- 21","11,080","10,900","11,115","10,900","55.21K","1.65%"
"2024- 10- 18","10,900","10,815","10,980","10,815","22.91K","0.93%"
"2024- 10- 17","10,800","10,890","10,895","10,795","8.64K","-0.09%"
"2024- 10- 16","10,810","10,885","10,885","10,785","82.65K","-0.78%"
"2024- 10- 15","10,895","10,810","10,900","10,755","18.04K","1.30%"
"2024- 10- 14","10,755","10,745","10,815","10,635","72.30K","0.09%"
"2024- 10- 11","10,745","10,805","10,830","10,725","16.23K","-0.28%"
"2024- 10- 10","10,775","10,815","10,870","10,750","8.35K","-0.14%"
