"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 01- 31","10,200","10,375","10,375","10,165","26.21K","-0.87%"
"2025- 01- 24","10,290","10,350","10,350","10,240","9.66K","0.24%"
"2025- 01- 23","10,265","10,540","10,540","10,260","14.82K","-2.14%"
"2025- 01- 22","10,490","10,485","10,580","10,410","23.93K","0.53%"
"2025- 01- 21","10,435","10,700","10,700","10,335","60.60K","-2.16%"
"2025- 01- 20","10,665","10,695","10,765","10,580","12.79K","0.57%"
"2025- 01- 17","10,605","10,480","10,605","10,450","10.97K","1.39%"
"2025- 01- 16","10,460","10,370","10,510","10,370","16.25K","1.95%"
"2025- 01- 15","10,260","10,435","10,490","10,260","19.74K","-0.92%"
"2025- 01- 14","10,355","10,330","10,425","10,255","14.27K","1.17%"
"2025- 01- 13","10,235","10,350","10,355","10,205","19.05K","-0.92%"
"2025- 01- 10","10,330","10,440","10,460","10,310","11.95K","-0.86%"
"2025- 01- 09","10,420","10,400","10,480","10,255","26.31K","1.21%"
"2025- 01- 08","10,295","10,130","10,335","10,105","14.69K","1.18%"
"2025- 01- 07","10,175","10,180","10,290","10,145","22.14K","0.84%"
"2025- 01- 06","10,090","10,040","10,185","9,975","74.00K","0.70%"
"2025- 01- 03","10,020","9,515","10,040","9,515","180.30K","5.31%"
"2025- 01- 02","9,515","9,575","9,600","9,425","7.50K","-0.31%"
"2024- 12- 30","9,545","9,440","9,650","9,425","7.13K","1.11%"
"2024- 12- 27","9,440","9,565","9,630","9,380","9.64K","-1.51%"
"2024- 12- 26","9,585","9,750","9,750","9,570","24.77K","-0.88%"
"2024- 12- 24","9,670","9,795","9,840","9,645","30.77K","-1.07%"
"2024- 12- 23","9,775","9,745","9,835","9,560","9.90K","1.35%"
"2024- 12- 20","9,645","9,755","9,850","9,595","18.36K","-1.63%"
"2024- 12- 19","9,805","9,795","9,865","9,700","50.25K","-1.80%"
"2024- 12- 18","9,985","10,010","10,010","9,900","11.57K","0.81%"
"2024- 12- 17","9,905","10,155","10,155","9,845","16.88K","-1.88%"
"2024- 12- 16","10,095","10,045","10,220","10,030","27.21K","1.05%"
"2024- 12- 13","9,990","9,945","10,060","9,885","10.68K","-0.45%"
"2024- 12- 12","10,035","9,915","10,035","9,815","15.91K","1.36%"
"2024- 12- 11","9,900","9,850","9,935","9,790","32.93K","0.97%"
"2024- 12- 10","9,805","9,270","9,845","9,270","95.46K","6.40%"
"2024- 12- 09","9,215","9,590","9,590","9,215","33.33K","-5.54%"
"2024- 12- 06","9,755","9,705","9,865","9,540","19.52K","0.26%"
"2024- 12- 05","9,730","10,070","10,070","9,730","29.21K","-3.04%"
"2024- 12- 04","10,035","10,065","10,205","9,940","44.87K","-2.38%"
"2024- 12- 03","10,280","10,070","10,295","10,070","41.57K","3.11%"
"2024- 12- 02","9,970","10,070","10,215","9,945","39.53K","-0.55%"
"2024- 11- 29","10,025","10,425","10,425","10,000","56.85K","-3.98%"
