"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 01- 31","8,145","8,160","8,225","8,085","341.31K","0.43%"
"2025- 01- 24","8,110","8,010","8,130","7,995","235.92K","1.31%"
"2025- 01- 23","8,005","7,980","8,050","7,960","181.12K","0.00%"
"2025- 01- 22","8,005","8,050","8,100","8,005","241.06K","0.06%"
"2025- 01- 21","8,000","7,990","8,130","7,980","238.49K","-0.12%"
"2025- 01- 20","8,010","8,060","8,060","7,915","185.64K","-0.31%"
"2025- 01- 17","8,035","8,125","8,155","8,000","143.60K","-1.41%"
"2025- 01- 16","8,150","8,020","8,195","8,020","261.12K","2.45%"
"2025- 01- 15","7,955","8,110","8,145","7,915","257.52K","-1.91%"
"2025- 01- 14","8,110","8,160","8,225","8,065","127.51K","-0.12%"
"2025- 01- 13","8,120","8,180","8,295","8,080","169.02K","-1.75%"
"2025- 01- 10","8,265","8,345","8,350","8,225","165.22K","-1.02%"
"2025- 01- 09","8,350","8,220","8,355","8,155","216.56K","1.64%"
"2025- 01- 08","8,215","8,295","8,420","8,205","255.96K","-1.32%"
"2025- 01- 07","8,325","8,220","8,340","8,205","326.46K","0.85%"
"2025- 01- 06","8,255","8,160","8,270","8,050","378.80K","1.73%"
"2025- 01- 03","8,115","7,940","8,130","7,870","261.05K","2.85%"
"2025- 01- 02","7,890","7,845","7,890","7,785","187.41K","0.90%"
