"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 01- 31","32,495","32,350","32,920","32,230","1.18M","-5.55%"
"2025- 01- 24","34,405","34,370","34,960","34,275","873.34K","0.38%"
"2025- 01- 23","34,275","34,845","34,845","34,165","811.93K","-2.14%"
"2025- 01- 22","35,025","34,325","35,070","33,995","1.05M","2.88%"
"2025- 01- 21","34,045","33,735","34,270","33,550","736.46K","2.05%"
"2025- 01- 20","33,360","33,800","33,815","33,205","512.34K","-0.49%"
"2025- 01- 17","33,525","32,710","33,620","32,680","712.90K","2.34%"
"2025- 01- 16","32,760","32,800","33,120","32,670","651.19K","2.22%"
"2025- 01- 15","32,050","32,070","32,540","32,000","600.41K","0.39%"
"2025- 01- 14","31,925","31,950","32,085","31,600","536.12K","0.47%"
"2025- 01- 13","31,775","32,415","32,600","31,740","590.19K","-3.18%"
"2025- 01- 10","32,820","33,135","33,510","32,745","868.05K","-0.59%"
"2025- 01- 09","33,015","33,085","33,330","32,920","1.30M","0.55%"
"2025- 01- 08","32,835","31,290","32,905","31,205","1.06M","3.53%"
"2025- 01- 07","31,715","32,760","32,855","31,700","921.00K","-1.20%"
"2025- 01- 06","32,100","30,980","32,220","30,975","1.32M","5.25%"
"2025- 01- 03","30,500","29,200","30,735","29,200","957.08K","4.77%"
"2025- 01- 02","29,110","28,625","29,175","28,425","396.48K","0.60%"
"2024- 12- 30","28,935","28,705","29,055","28,560","242.50K","0.03%"
"2024- 12- 27","28,925","28,575","29,365","28,575","561.31K","1.03%"
"2024- 12- 26","28,630","29,160","29,220","28,570","308.42K","-1.09%"
"2024- 12- 24","28,945","29,215","29,285","28,890","309.07K","0.05%"
"2024- 12- 23","28,930","28,445","29,210","28,310","379.78K","2.79%"
"2024- 12- 20","28,145","28,925","28,925","27,930","389.98K","-2.70%"
"2024- 12- 19","28,925","28,745","29,100","28,670","389.25K","-3.13%"
"2024- 12- 18","29,860","29,410","29,915","29,395","360.14K","1.00%"
"2024- 12- 17","29,565","29,340","29,680","29,310","534.55K","1.70%"
"2024- 12- 16","29,070","29,100","29,300","28,900","342.24K","0.96%"
"2024- 12- 13","28,795","28,595","28,965","28,520","334.85K","0.16%"
"2024- 12- 12","28,750","28,310","28,905","28,110","585.65K","3.18%"
"2024- 12- 11","27,865","26,970","27,865","26,955","399.02K","2.65%"
"2024- 12- 10","27,145","26,920","27,265","26,920","274.67K","1.69%"
"2024- 12- 09","26,695","27,080","27,315","26,695","555.78K","-3.14%"
"2024- 12- 06","27,560","28,075","28,085","26,925","739.79K","-1.80%"
"2024- 12- 05","28,065","27,550","28,365","27,545","476.73K","2.63%"
"2024- 12- 04","27,345","26,825","27,500","26,800","502.52K","-0.38%"
"2024- 12- 03","27,450","26,750","27,520","26,750","359.04K","2.18%"
"2024- 12- 02","26,865","27,550","27,580","26,840","386.43K","-1.70%"
"2024- 11- 29","27,330","27,775","27,775","27,105","345.28K","-1.81%"
"2024- 11- 28","27,835","28,100","28,175","27,780","378.19K","-1.61%"
"2024- 11- 27","28,290","29,230","29,230","28,200","475.48K","-3.73%"
"2024- 11- 26","29,385","29,355","29,620","29,200","398.39K","-0.24%"
"2024- 11- 25","29,455","29,015","29,550","29,015","294.21K","1.67%"
"2024- 11- 22","28,970","28,610","29,235","28,595","302.95K","1.70%"
"2024- 11- 21","28,485","28,295","28,770","28,260","165.55K","0.11%"
"2024- 11- 20","28,455","28,790","28,790","28,240","235.50K","-0.28%"
"2024- 11- 19","28,535","28,505","28,650","28,315","264.28K","-0.23%"
"2024- 11- 18","28,600","29,200","29,460","28,415","482.43K","-1.41%"
"2024- 11- 15","29,010","27,965","29,130","27,940","634.24K","3.55%"
"2024- 11- 14","28,015","28,735","28,990","27,940","487.63K","-2.47%"
"2024- 11- 13","28,725","29,295","29,705","28,725","463.88K","-2.66%"
"2024- 11- 12","29,510","30,365","30,435","29,475","635.74K","-3.81%"
"2024- 11- 11","30,680","31,810","31,890","30,680","582.69K","-4.65%"
"2024- 11- 08","32,175","32,450","32,805","32,095","271.11K","0.22%"
"2024- 11- 07","32,105","32,160","32,245","31,700","316.51K","-0.17%"
"2024- 11- 06","32,160","32,910","33,050","31,930","328.73K","-1.08%"
"2024- 11- 05","32,510","32,615","33,000","32,430","178.59K","-0.94%"
"2024- 11- 04","32,820","32,200","32,820","32,015","275.29K","2.55%"
"2024- 11- 01","32,005","32,025","32,355","31,950","203.62K","-1.04%"
"2024- 10- 31","32,340","31,840","32,840","31,820","274.71K","-0.06%"
"2024- 10- 30","32,360","32,450","32,785","32,290","208.83K","0.02%"
"2024- 10- 29","32,355","32,405","32,405","31,740","228.53K","-0.54%"
"2024- 10- 28","32,530","32,280","32,545","32,260","245.30K","0.65%"
"2024- 10- 25","32,320","32,550","32,790","32,095","347.26K","0.00%"
"2024- 10- 24","32,320","32,410","32,790","32,160","391.29K","-1.76%"
"2024- 10- 23","32,900","31,740","33,030","31,640","528.50K","3.65%"
"2024- 10- 22","31,740","32,605","32,750","31,730","271.35K","-2.55%"
"2024- 10- 21","32,570","32,365","32,805","32,100","210.75K","0.56%"
"2024- 10- 18","32,390","33,740","33,770","32,330","476.91K","-3.94%"
"2024- 10- 17","33,720","33,500","33,720","32,995","307.78K","1.73%"
"2024- 10- 16","33,145","32,965","33,495","32,770","344.94K","-2.74%"
"2024- 10- 15","34,080","34,305","34,400","33,825","405.18K","0.81%"
"2024- 10- 14","33,805","33,150","34,200","33,150","336.55K","1.81%"
"2024- 10- 11","33,205","33,195","33,705","33,090","332.95K","0.74%"
"2024- 10- 10","32,960","33,290","33,490","32,950","254.10K","0.14%"
"2024- 10- 08","32,915","33,175","33,630","32,900","270.93K","-1.95%"
"2024- 10- 07","33,570","32,855","33,675","32,570","310.11K","2.91%"
"2024- 10- 04","32,620","32,520","33,015","32,520","224.89K","0.91%"
"2024- 10- 02","32,325","32,000","32,845","31,765","338.39K","-1.13%"
"2024- 09- 30","32,695","33,500","33,535","32,695","347.85K","-2.78%"
"2024- 09- 27","33,630","33,900","34,435","33,630","446.21K","-0.50%"
"2024- 09- 26","33,800","33,335","33,850","33,165","944.76K","5.63%"
"2024- 09- 25","32,000","32,455","32,785","32,000","766.65K","-0.05%"
"2024- 09- 24","32,015","31,500","32,020","31,335","287.26K","2.14%"
"2024- 09- 23","31,345","30,625","31,595","30,610","381.90K","1.62%"
"2024- 09- 20","30,845","31,325","31,560","30,815","537.46K","0.82%"
"2024- 09- 19","30,595","30,835","30,945","29,700","840.33K","-2.31%"
"2024- 09- 13","31,320","31,740","31,750","31,135","367.50K","-2.49%"
"2024- 09- 12","32,120","31,650","32,290","31,620","437.29K","5.40%"
"2024- 09- 11","30,475","30,665","30,925","30,235","222.93K","-0.47%"
"2024- 09- 10","30,620","31,085","31,360","30,435","255.81K","-1.34%"
"2024- 09- 09","31,035","30,150","31,230","30,015","386.23K","0.16%"
"2024- 09- 06","30,985","31,390","31,665","30,855","500.27K","-2.09%"
"2024- 09- 05","31,645","31,915","32,425","31,465","621.17K","-0.19%"
"2024- 09- 04","31,705","31,920","32,340","31,660","673.59K","-6.06%"
"2024- 09- 03","33,750","34,545","34,545","33,750","235.61K","-2.39%"
"2024- 09- 02","34,575","34,855","34,860","34,210","303.27K","-1.03%"
"2024- 08- 30","34,935","34,560","35,010","34,390","334.99K","1.70%"
"2024- 08- 29","34,350","34,305","34,585","34,115","710.72K","-4.34%"
"2024- 08- 28","35,910","35,110","35,990","34,880","303.59K","2.28%"
"2024- 08- 27","35,110","35,250","35,490","34,915","314.46K","-1.27%"
"2024- 08- 26","35,560","36,755","36,825","35,510","303.93K","-2.39%"
"2024- 08- 23","36,430","36,275","36,645","36,275","377.97K","-1.35%"
"2024- 08- 22","36,930","37,575","37,695","36,700","244.93K","-1.44%"
"2024- 08- 21","37,470","37,415","37,735","37,200","651.47K","-1.41%"
"2024- 08- 20","38,005","38,065","38,340","37,910","476.88K","1.84%"
"2024- 08- 19","37,320","38,245","38,320","37,275","396.44K","-2.43%"
"2024- 08- 16","38,250","37,895","38,305","37,820","516.87K","4.48%"
"2024- 08- 14","36,610","36,625","36,855","36,455","449.07K","2.64%"
"2024- 08- 13","35,670","35,760","35,945","35,285","300.83K","0.79%"
"2024- 08- 12","35,390","34,785","35,810","34,675","326.62K","2.58%"
"2024- 08- 09","34,500","35,060","35,150","34,275","441.29K","2.88%"
"2024- 08- 08","33,535","33,045","33,935","32,980","457.50K","-1.47%"
