"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 01- 31","18,790","18,645","18,885","18,645","256.82K","0.97%"
"2025- 01- 24","18,610","18,675","18,845","18,535","310.68K","0.35%"
"2025- 01- 23","18,545","18,665","18,705","18,445","107.38K","-0.64%"
"2025- 01- 22","18,665","18,630","18,695","18,415","142.64K","1.06%"
"2025- 01- 21","18,470","18,460","18,830","18,410","147.62K","0.05%"
"2025- 01- 20","18,460","18,685","18,685","18,435","141.10K","-1.20%"
"2025- 01- 17","18,685","18,775","18,785","18,590","131.48K","-0.59%"
"2025- 01- 16","18,795","19,005","19,070","18,765","107.21K","-0.84%"
"2025- 01- 15","18,955","19,025","19,135","18,890","165.13K","-0.29%"
"2025- 01- 14","19,010","18,810","19,065","18,720","201.18K","1.04%"
"2025- 01- 13","18,815","18,840","18,920","18,610","352.86K","-0.61%"
"2025- 01- 10","18,930","18,550","19,045","18,550","343.48K","2.24%"
"2025- 01- 09","18,515","18,525","18,900","18,430","238.32K","0.19%"
"2025- 01- 08","18,480","18,095","18,580","18,095","159.41K","1.15%"
"2025- 01- 07","18,270","18,275","18,455","18,230","112.93K","0.30%"
"2025- 01- 06","18,215","18,250","18,250","17,980","169.63K","0.03%"
"2025- 01- 03","18,210","18,105","18,320","18,040","207.09K","0.52%"
"2025- 01- 02","18,115","17,940","18,215","17,900","170.63K","1.14%"
"2024- 12- 30","17,910","17,855","18,150","17,820","95.98K","-0.17%"
"2024- 12- 27","17,940","18,125","18,205","17,850","219.06K","-1.59%"
"2024- 12- 26","18,230","18,245","18,305","18,030","130.15K","0.47%"
"2024- 12- 24","18,145","18,210","18,325","18,065","82.33K","-0.44%"
"2024- 12- 23","18,225","18,095","18,275","17,985","101.15K","1.31%"
"2024- 12- 20","17,990","18,120","18,255","17,885","121.69K","-1.61%"
"2024- 12- 19","18,285","18,250","18,420","18,155","100.74K","-1.61%"
"2024- 12- 18","18,585","17,940","18,585","17,940","313.83K","3.94%"
"2024- 12- 17","17,880","17,880","18,050","17,825","78.67K","0.00%"
"2024- 12- 16","17,880","18,240","18,285","17,820","231.46K","-1.79%"
"2024- 12- 13","18,205","18,090","18,240","17,930","125.89K","0.58%"
"2024- 12- 12","18,100","18,045","18,195","17,970","131.67K","0.42%"
"2024- 12- 11","18,025","17,720","18,050","17,675","95.05K","0.98%"
"2024- 12- 10","17,850","17,320","17,850","17,320","196.42K","3.96%"
"2024- 12- 09","17,170","17,160","17,325","17,140","283.81K","-1.63%"
"2024- 12- 06","17,455","17,450","17,620","17,160","161.86K","0.00%"
"2024- 12- 05","17,455","17,765","17,815","17,405","170.40K","-1.77%"
"2024- 12- 04","17,770","17,715","17,945","17,605","222.87K","-1.47%"
"2024- 12- 03","18,035","18,045","18,135","17,895","104.18K","0.75%"
"2024- 12- 02","17,900","17,875","18,200","17,815","160.01K","0.65%"
"2024- 11- 29","17,785","18,145","18,145","17,720","105.35K","-1.96%"
"2024- 11- 28","18,140","18,060","18,225","17,940","45.03K","0.69%"
"2024- 11- 27","18,015","18,200","18,370","17,960","141.88K","-1.91%"
"2024- 11- 26","18,365","18,170","18,375","18,055","125.02K","0.99%"
"2024- 11- 25","18,185","18,465","18,465","18,185","133.66K","-0.76%"
"2024- 11- 22","18,325","18,405","18,405","18,210","128.74K","0.22%"
"2024- 11- 21","18,285","18,450","18,500","18,270","122.04K","-0.87%"
"2024- 11- 20","18,445","18,215","18,575","18,150","291.28K","1.29%"
"2024- 11- 19","18,210","18,230","18,380","18,150","102.53K","-0.49%"
"2024- 11- 18","18,300","17,445","18,300","17,445","238.13K","4.33%"
"2024- 11- 15","17,540","17,580","17,690","17,255","181.47K","-0.45%"
"2024- 11- 14","17,620","17,595","17,815","17,510","248.63K","0.34%"
"2024- 11- 13","17,560","17,870","17,870","17,525","368.90K","-2.09%"
