"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 01- 31","18,065","18,010","18,520","17,915","3.58M","0.47%"
"2025- 01- 24","17,980","17,450","18,005","17,385","5.15M","3.39%"
"2025- 01- 23","17,390","18,275","18,370","17,340","5.13M","-4.84%"
"2025- 01- 22","18,275","18,775","18,970","18,240","3.91M","-2.56%"
"2025- 01- 21","18,755","18,220","18,780","18,205","3.75M","3.59%"
"2025- 01- 20","18,105","17,920","18,190","17,675","2.86M","0.67%"
"2025- 01- 17","17,985","17,880","18,140","17,615","2.77M","-0.17%"
"2025- 01- 16","18,015","18,155","18,170","17,600","3.05M","-0.03%"
"2025- 01- 15","18,020","17,170","18,100","17,100","4.57M","5.53%"
"2025- 01- 14","17,075","16,870","17,465","16,870","3.47M","1.91%"
"2025- 01- 13","16,755","17,020","17,030","16,410","2.74M","-1.24%"
"2025- 01- 10","16,965","16,680","17,005","16,480","2.05M","1.40%"
"2025- 01- 09","16,730","16,495","16,890","16,275","2.31M","1.00%"
"2025- 01- 08","16,565","16,150","16,580","16,060","3.32M","3.34%"
"2025- 01- 07","16,030","15,550","16,170","15,480","4.20M","4.77%"
"2025- 01- 06","15,300","15,190","15,320","14,860","2.22M","0.76%"
"2025- 01- 03","15,185","15,590","15,925","15,060","2.69M","-2.41%"
"2025- 01- 02","15,560","15,360","15,830","15,265","1.65M","1.30%"
"2024- 12- 30","15,360","15,365","15,600","15,160","1.43M","-0.29%"
"2024- 12- 27","15,405","15,600","15,660","15,225","2.13M","-1.72%"
"2024- 12- 26","15,675","15,260","15,805","15,215","2.30M","3.88%"
"2024- 12- 24","15,090","15,275","15,430","14,930","2.61M","-0.66%"
"2024- 12- 23","15,190","14,800","15,225","14,800","2.53M","4.58%"
"2024- 12- 20","14,525","14,560","14,790","14,400","1.88M","0.55%"
"2024- 12- 19","14,445","13,775","14,590","13,745","2.22M","1.65%"
"2024- 12- 18","14,210","14,125","14,660","14,075","2.20M","0.60%"
"2024- 12- 17","14,125","14,170","14,420","14,015","1.34M","-0.81%"
"2024- 12- 16","14,240","14,480","14,500","14,030","1.44M","-0.84%"
"2024- 12- 13","14,360","14,095","14,405","13,900","1.38M","1.27%"
"2024- 12- 12","14,180","14,070","14,185","13,885","1.42M","1.00%"
"2024- 12- 11","14,040","13,150","14,090","13,120","2.88M","7.09%"
"2024- 12- 10","13,110","12,710","13,255","12,655","1.90M","4.55%"
"2024- 12- 09","12,540","12,555","12,770","12,465","2.34M","-3.43%"
"2024- 12- 06","12,985","13,250","13,250","12,545","3.11M","-2.07%"
"2024- 12- 05","13,260","13,530","13,660","13,205","1.52M","-1.89%"
"2024- 12- 04","13,515","13,315","13,590","13,085","2.89M","-0.66%"
"2024- 12- 03","13,605","13,425","13,690","13,420","1.99M","1.61%"
"2024- 12- 02","13,390","14,055","14,080","13,245","3.48M","-4.25%"
"2024- 11- 29","13,985","14,200","14,215","13,845","2.09M","-1.83%"
"2024- 11- 28","14,245","14,430","14,660","14,170","1.99M","-1.38%"
"2024- 11- 27","14,445","14,395","14,760","14,375","2.12M","0.10%"
