"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 01- 31","12,725","12,770","12,845","12,535","1.32M","-0.43%"
"2025- 01- 24","12,780","12,845","12,930","12,675","1.43M","-0.39%"
"2025- 01- 23","12,830","12,980","13,005","12,720","1.19M","-1.61%"
"2025- 01- 22","13,040","12,860","13,180","12,845","2.34M","1.56%"
"2025- 01- 21","12,840","13,340","13,460","12,670","3.33M","-4.82%"
"2025- 01- 20","13,490","13,105","13,545","13,100","2.73M","3.57%"
"2025- 01- 17","13,025","13,000","13,180","12,910","1.14M","0.08%"
"2025- 01- 16","13,015","13,135","13,260","13,005","1.28M","1.05%"
"2025- 01- 15","12,880","13,020","13,260","12,830","1.57M","-1.15%"
"2025- 01- 14","13,030","12,730","13,080","12,650","2.04M","3.33%"
"2025- 01- 13","12,610","12,665","12,805","12,565","1.10M","-1.48%"
"2025- 01- 10","12,800","13,035","13,035","12,730","1.62M","-1.95%"
"2025- 01- 09","13,055","13,045","13,090","12,830","1.35M","0.04%"
"2025- 01- 08","13,050","12,675","13,105","12,675","3.59M","1.64%"
"2025- 01- 07","12,840","12,835","13,040","12,780","1.79M","0.39%"
"2025- 01- 06","12,790","12,565","12,855","12,500","1.89M","2.24%"
"2025- 01- 03","12,510","11,875","12,650","11,850","2.28M","4.69%"
"2025- 01- 02","11,950","12,210","12,215","11,860","1.42M","-2.09%"
"2024- 12- 30","12,205","12,060","12,385","12,020","1.03M","0.66%"
"2024- 12- 27","12,125","12,110","12,320","11,940","1.62M","-0.74%"
"2024- 12- 26","12,215","12,545","12,550","12,175","1.68M","-2.16%"
"2024- 12- 24","12,485","12,705","12,875","12,475","1.42M","-1.30%"
"2024- 12- 23","12,650","12,640","12,715","12,250","2.09M","0.84%"
"2024- 12- 20","12,545","12,850","12,935","12,480","1.15M","-2.18%"
"2024- 12- 19","12,825","12,800","12,975","12,675","1.36M","-2.25%"
"2024- 12- 18","13,120","13,020","13,145","12,925","1.56M","1.55%"
"2024- 12- 17","12,920","13,550","13,575","12,835","2.39M","-4.65%"
"2024- 12- 16","13,550","13,670","13,745","13,480","852.67K","-0.11%"
"2024- 12- 13","13,565","13,540","13,595","13,385","978.57K","-0.51%"
"2024- 12- 12","13,635","13,505","13,700","13,195","1.40M","2.13%"
"2024- 12- 11","13,350","13,335","13,570","13,215","1.02M","0.19%"
"2024- 12- 10","13,325","12,990","13,360","12,965","1.18M","4.96%"
"2024- 12- 09","12,695","13,005","13,125","12,675","1.60M","-4.55%"
"2024- 12- 06","13,300","13,225","13,460","12,900","1.24M","0.57%"
"2024- 12- 05","13,225","13,645","13,645","13,180","1.20M","-2.90%"
"2024- 12- 04","13,620","13,450","13,785","13,405","1.80M","-1.73%"
"2024- 12- 03","13,860","13,955","14,040","13,745","1.10M","0.25%"
"2024- 12- 02","13,825","13,945","14,150","13,685","1.51M","0.55%"
"2024- 11- 29","13,750","14,410","14,440","13,705","2.73M","-5.17%"
"2024- 11- 28","14,500","14,325","14,590","14,285","1.08M","1.58%"
"2024- 11- 27","14,275","14,610","14,810","14,220","1.02M","-2.63%"
"2024- 11- 26","14,660","14,700","15,035","14,605","1.63M","-0.61%"
